age,region,employment_type,hours_worked,weekly_earnings,tenure_years
18,Buqaiq,FullTime,39.338,1071.123,7.773
62,Dammam,PartTime,22.735,383.412,18.464
29,Khobar,FullTime,38.96,1251.528,5.593
54,Dammam,PartTime,19.168,264.636,25.663
21,Dammam,FullTime,39.112,565.165,11.751
18,Dammam,PartTime,16.851,244.362,23.829
29,Dammam,FullTime,39.137,730.036,11.414
18,Dammam,FullTime,40.404,508.188,22.592
36,Dammam,FullTime,40.433,749.473,5.578
25,Dammam,FullTime,40.855,829.034,16.784
31,Dammam,PartTime,15.208,221.451,16.568
41,Khobar,PartTime,20.445,529.796,20.348
55,Dammam,FullTime,38.748,622.902,15.15
39,Dammam,FullTime,40.033,982.494,19.812
22,Dammam,FullTime,40.336,752.616,19.744
33,Buqaiq,FullTime,39.581,356.606,11.768
25,Dammam,FullTime,41.104,1091.819,14.36
42,Jeddah,FullTime,39.014,991.983,6.352
58,Dammam,PartTime,18.35,321.929,24.853
35,Dammam,PartTime,16.609,657.174,11.837
38,Dammam,PartTime,25.109,376.986,15.217
69,Dammam,FullTime,39.089,814.455,27.011
36,Dammam,FullTime,38.861,1151.25,17.28
51,Buqaiq,PartTime,22.513,659.012,32.497
45,Dammam,FullTime,40.331,610.43,13.21
26,Dammam,PartTime,16.473,224.998,6.105
37,Dammam,FullTime,40.522,553.849,9.686
42,Dammam,FullTime,40.674,685.136,12.372
59,Dammam,FullTime,39.045,499.559,10.187
29,Dammam,FullTime,41.166,545.987,15.754
35,Khobar,FullTime,40.254,452.211,17.276
33,Dammam,FullTime,40.322,492.507,18.508
44,Khobar,FullTime,40.379,548.584,18.731
33,Dammam,FullTime,40.694,777.578,16.678
44,Dammam,PartTime,15.943,191.823,18.056
64,Dammam,FullTime,40.598,484.946,7.185
21,Khobar,PartTime,23.925,278.709,28.326
20,Khobar,FullTime,38.619,397.122,20.02
37,Dammam,FullTime,40.452,793.956,7.782
31,Khobar,PartTime,25.176,352.577,23.849
23,Dammam,FullTime,40.499,473.771,11.659
49,Alhasa,FullTime,42.073,1038.104,16.019
30,Alhasa,PartTime,19.293,320.718,25.507
36,Alhasa,FullTime,40.811,611.293,13.252
21,Dammam,FullTime,41.419,753.51,11.832
31,Dammam,PartTime,22.62,510.841,9.743
28,Dammam,PartTime,17.882,225.17,13.791
41,Alhasa,FullTime,39.656,988.459,4.834
47,Dammam,FullTime,39.435,1261.973,20.757
23,Dammam,PartTime,21.895,376.065,12.855
42,Dammam,FullTime,41.226,1104.944,29.709
48,Dammam,FullTime,39.171,1231.441,13.163
34,Dammam,FullTime,40.779,759.634,13.381
36,Khobar,PartTime,18.037,376.223,11.591
41,Dammam,FullTime,38.808,489.923,24.844
39,Dammam,FullTime,40.384,563.823,11.184
28,Dammam,FullTime,39.896,908.428,7.878
57,Alhasa,FullTime,41.295,851.648,8.166
23,Dammam,FullTime,41.831,693.969,20.946
26,Dammam,FullTime,38.826,991.843,5.475
46,Alhasa,FullTime,39.193,673.062,17.336
35,Dammam,PartTime,18.977,373.649,11.441
32,Dammam,FullTime,40.732,1133.771,28.643
50,Dammam,FullTime,40.583,1323.331,2.793
60,Dammam,FullTime,41.587,856.906,8.289
56,Buqaiq,FullTime,41.496,1070.688,10.679
19,Dammam,FullTime,39.036,738.319,20.194
54,Dammam,PartTime,17.456,683.705,12.976
22,Dammam,PartTime,18.416,454.467,20.513
60,Dammam,FullTime,39.495,640.868,9.937
18,Buqaiq,FullTime,39.347,629.509,29.06
38,Dammam,FullTime,39.472,408.583,16.17
44,Khobar,FullTime,39.818,890.885,16.654
57,Dammam,FullTime,41.117,417.91,19.508
58,Khobar,PartTime,19.545,269.382,9.611
27,Dammam,FullTime,40.515,572.12,9.931
31,Dammam,PartTime,18.141,366.532,10.345
50,Buqaiq,FullTime,38.961,405.367,14.956
30,Dammam,FullTime,41.772,663.014,9.547
49,Khobar,PartTime,20.093,365.792,21.265
27,Dammam,PartTime,21.954,328.188,11.396
23,Dammam,FullTime,38.827,668.708,21.471
46,Dammam,FullTime,39.604,660.353,16.778
36,Dammam,PartTime,22.796,727.127,12.784
33,Dammam,FullTime,39.866,688.092,13.908
27,Dammam,FullTime,40.435,831.181,9.672
34,Dammam,FullTime,40.051,811.882,22.194
54,Dammam,FullTime,40.324,627.442,14.033
18,Dammam,FullTime,40.541,818.449,9.171
18,Khobar,FullTime,40.834,1947.77,9.712
36,Dammam,FullTime,38.752,702.874,20.539
47,Dammam,PartTime,17.615,457.886,16.751
38,Dammam,PartTime,23.452,191.392,12.033
27,Dammam,FullTime,40.703,824.38,9.371
33,Alhasa,FullTime,39.645,739.396,33.808
41,Khobar,PartTime,20.505,470.32,13.865
44,Khobar,PartTime,20.016,379.196,12.022
18,Dammam,FullTime,39.839,1509.814,17.582
22,Khobar,FullTime,39.332,498.276,19.32
53,Dammam,FullTime,38.472,589.551,11.552
57,Alhasa,FullTime,40.071,483.14,10.165
21,Khobar,FullTime,40.606,516.268,12.739
28,Khobar,FullTime,41.071,1031.712,9.586
22,Dammam,FullTime,40.494,497.814,7.682
50,Dammam,FullTime,39.198,736.144,18.65
33,Dammam,FullTime,39.481,856.472,16.557
22,Buqaiq,FullTime,38.271,468.04,8.336
20,Khobar,FullTime,40.282,785.252,7.475
49,Dammam,PartTime,16.531,149.363,20.929
37,Khobar,FullTime,40.254,739.204,11.706
26,Dammam,PartTime,20.392,271.681,16.567
45,Dammam,FullTime,41.176,774.432,10.527
52,Dammam,FullTime,39.729,836.713,16.156
39,Dammam,PartTime,21.885,326.164,29.159
52,Buqaiq,FullTime,40.96,596.135,13.079
48,Khobar,FullTime,41.11,688.926,15.409
24,Dammam,FullTime,41.127,1084.974,8.663
30,Dammam,FullTime,40.496,950.39,15.555
55,Dammam,FullTime,39.894,334.467,18.356
51,Dammam,FullTime,38.519,863.27,22.027
54,Dammam,FullTime,38.39,580.821,17.614
36,Khobar,FullTime,37.637,600.894,6.895
19,Khobar,FullTime,40.247,654.266,13.84
66,Alhasa,FullTime,39.727,653.563,12.002
37,Dammam,FullTime,41.242,724.05,19.396
34,Riyadh,FullTime,41.35,629.046,18.595
37,Jubail,FullTime,40.317,503.159,7.121
22,Dammam,PartTime,17.894,364.642,14.788
29,Dammam,FullTime,38.6,723.572,12.831
34,Dammam,FullTime,40.831,1021.272,15.982
24,Dammam,FullTime,37.9,591.244,25.429
49,Dammam,FullTime,39.081,486.478,7.401
59,Dammam,FullTime,40.612,711.36,9.571
52,Dammam,FullTime,40.696,1460.749,15.136
35,Dammam,FullTime,41.042,1105.483,27.081
33,Dammam,FullTime,40.708,707.375,27.692
19,Dammam,PartTime,18.98,305.595,22.32
47,Dammam,FullTime,38.052,678.412,19.89
33,Alhasa,PartTime,17.935,199.561,22.311
30,Dammam,FullTime,39.346,793.233,18.487
25,Khobar,FullTime,39.868,614.556,14.525
59,Dammam,FullTime,38.29,606.693,13.133
24,Buqaiq,FullTime,40.153,511.671,14.114
32,Buqaiq,PartTime,19.564,237.465,16.15
51,Dammam,FullTime,39.434,880.145,13.361
53,Alhasa,FullTime,41.077,562.416,4.6
46,Dammam,FullTime,39.731,956.465,12.737
39,Khobar,PartTime,18.451,311.244,14.651
62,Dammam,FullTime,40.984,624.653,12.822
62,Dammam,FullTime,42.363,1527.318,13.243
38,Dammam,FullTime,39.86,589.791,16.188
49,Dammam,FullTime,39.831,927.386,11.693
31,Dammam,FullTime,40.92,473.685,10.814
35,Dammam,FullTime,38.629,822.4,21.55
39,Dammam,PartTime,19.772,337.393,8.199
39,Dammam,FullTime,41.955,691.714,9.086
39,Khobar,PartTime,17.483,283.618,3.629
40,Dammam,FullTime,38.69,1020.902,19.382
26,Dammam,FullTime,39.573,802.289,6.776
52,Dammam,PartTime,19.887,334.64,11.818
50,Dammam,FullTime,40.14,1139.291,19.751
18,Dammam,FullTime,39.158,732.436,9.393
57,Dammam,PartTime,18.502,259.371,18.645
55,Buqaiq,FullTime,40.538,1995.337,19.007
40,Dammam,FullTime,40.977,1055.705,13.347
41,Khobar,FullTime,40.345,558.108,7.447
37,Khobar,FullTime,40.639,554.397,17.961
19,Dammam,FullTime,40.033,500.999,8.386
32,Khobar,PartTime,22.077,703.632,11.279
34,Dammam,PartTime,19.899,377.594,16.113
45,Dammam,FullTime,40.722,526.865,5.122
49,Dammam,FullTime,38.584,1310.883,7.563
26,Dammam,PartTime,23.121,569.639,14.278
18,Jubail,FullTime,40.876,891.484,6.286
33,Buqaiq,FullTime,40.706,825.727,9.379
58,Dammam,FullTime,39.037,520.927,9.439
41,Dammam,FullTime,37.842,773.259,18.924
41,Dammam,FullTime,39.071,657.201,12.852
57,Khobar,PartTime,26.231,323.353,30.69
43,Dammam,FullTime,40.832,840.077,15.031
33,Buqaiq,FullTime,38.367,609.876,13.195
38,Dammam,FullTime,38.213,621.795,15.537
38,Khobar,FullTime,39.579,871.698,15.808
57,Dammam,FullTime,38.523,778.706,19.833
39,Alhasa,FullTime,39.363,1125.024,21.806
28,Dammam,FullTime,39.708,741.484,13.652
57,Dammam,FullTime,39.583,487.553,14.692
27,Dammam,FullTime,38.898,628.171,13.051
24,Dammam,PartTime,16.722,452.908,16.894
37,Dammam,FullTime,40.075,463.135,7.879
46,Khobar,FullTime,39.473,1426.625,13.191
42,Jubail,FullTime,38.687,758.089,10.759
28,Khobar,FullTime,38.85,933.704,15.547
18,Dammam,FullTime,40.73,367.357,19.247
26,Khobar,FullTime,40.882,620.039,5.519
33,Dammam,FullTime,39.6,517.762,17.593
27,Dammam,FullTime,40.787,864.308,24.355
42,Dammam,PartTime,18.197,290.306,14.148
49,Dammam,FullTime,40.438,364.941,8.875
38,Dammam,PartTime,21.744,440.15,7.164
28,Dammam,FullTime,40.546,569.875,8.082
18,Khobar,FullTime,40.551,569.264,10.431
55,Dammam,FullTime,40.522,1046.671,21.157
40,Khobar,FullTime,40.602,574.466,4.862
61,Khobar,FullTime,39.376,1227.719,5.968
53,Alhasa,FullTime,41.85,595.218,11.363
38,Dammam,FullTime,37.962,1009.081,27.171
23,Jeddah,PartTime,22.098,264.508,22.664
48,Dammam,FullTime,39.6,562.112,14.419
18,Khobar,FullTime,39.497,661.958,15.868
31,Dammam,FullTime,39.71,616.478,13.475
60,Dammam,FullTime,39.791,1232.579,13.664
51,Dammam,PartTime,22.453,417.331,6.206
38,Dammam,FullTime,40.644,477.586,16.041
39,Dammam,FullTime,40.176,955.368,15.746
46,Alhasa,FullTime,40.57,517.027,17.004
37,Dammam,PartTime,23.371,216.737,7.314
27,Alhasa,FullTime,42.268,817.144,13.881
41,Khobar,FullTime,40.528,602.927,13.502
59,Alhasa,FullTime,40.269,548.451,18.52
57,Dammam,PartTime,20.785,498.006,15.464
28,Khobar,FullTime,40.572,1012.654,11.064
60,Dammam,PartTime,17.138,226.812,15.946
45,Dammam,FullTime,40.068,724.332,15.808
45,Dammam,FullTime,39.998,832.728,10.384
39,Dammam,FullTime,39.328,720.746,15.575
40,Dammam,FullTime,40.319,854.572,8.525
51,Dammam,PartTime,24.146,648.052,25.974
45,Dammam,FullTime,40.788,1409.971,11.876
50,Dammam,PartTime,20.856,156.354,10.987
54,Dammam,FullTime,41.659,1647.157,29.258
55,Alhasa,FullTime,39.469,1099.35,10.648
59,Dammam,FullTime,40.195,598.215,20.198
28,Dammam,FullTime,40.09,739.551,14.303
45,Dammam,FullTime,39.528,1225.771,14.542
42,Dammam,FullTime,41.089,592.083,29.819
31,Khobar,FullTime,37.154,481.807,17.828
37,Dammam,FullTime,39.722,317.144,4.615
27,Dammam,FullTime,40.406,472.961,13.854
28,Dammam,FullTime,40.363,1070.892,14.973
35,Khobar,FullTime,39.119,634.231,10.995
22,Dammam,FullTime,39.38,405.772,4.09
40,Dammam,FullTime,39.983,1057.524,22.424
19,Dammam,PartTime,20.575,440.013,7.77
39,Dammam,FullTime,40.448,427.039,10.67
32,Dammam,FullTime,40.588,798.185,18.5
32,Dammam,FullTime,39.994,511.045,6.876
18,Alhasa,FullTime,41.625,658.801,16.784
48,Dammam,FullTime,41.519,913.24,12.895
25,Buqaiq,PartTime,17.217,175.659,33.275
51,Dammam,FullTime,40.731,613.082,9.498
31,Khobar,FullTime,38.408,712.52,22.722
31,Dammam,FullTime,40.199,650.504,11.23
42,Khobar,FullTime,40.543,812.454,14.52
32,Dammam,FullTime,41.175,614.765,17.538
58,Alhasa,FullTime,38.691,793.905,15.357
56,Khobar,PartTime,21.879,339.1,11.949
61,Dammam,PartTime,21.217,726.997,14.379
27,Khobar,PartTime,20.788,383.965,10.783
53,Riyadh,FullTime,41.373,732.935,14.732
18,Khobar,PartTime,17.175,282.852,20.666
31,Dammam,FullTime,40.019,631.737,14.11
23,Dammam,FullTime,39.812,1674.476,16.01
61,Riyadh,PartTime,23.856,292.702,17.114
39,Khobar,FullTime,40.764,290.05,12.651
65,Khobar,FullTime,39.895,734.816,11.848
20,Dammam,FullTime,40.574,1166.858,8.307
49,Dammam,FullTime,40.285,786.449,20.478
41,Dammam,FullTime,40.071,383.554,11.708
25,Khobar,FullTime,40.065,706.054,7.514
51,Dammam,FullTime,39.945,561.15,9.838
29,Khobar,FullTime,38.823,814.228,8.935
41,Dammam,FullTime,39.062,699.054,28.314
35,Dammam,FullTime,40.612,738.309,14.573
30,Khobar,FullTime,38.908,862.457,6.11
57,Dammam,PartTime,18.468,385.442,6.702
26,Dammam,FullTime,40.045,460.075,19.737
18,Dammam,PartTime,21.415,228.932,14.487
46,Dammam,PartTime,23.678,650.938,18.817
38,Dammam,PartTime,18.616,485.235,14.531
27,Dammam,FullTime,40.953,812.135,26.429
36,Buqaiq,FullTime,39.019,495.818,23.688
38,Dammam,FullTime,38.129,346.932,24.561
37,Dammam,FullTime,39.898,908.504,26.907
50,Khobar,FullTime,40.075,1020.33,6.476
32,Dammam,FullTime,39.803,649.359,1.813
37,Dammam,FullTime,39.162,382.991,11.655
32,Dammam,PartTime,19.255,383.544,11.723
65,Dammam,PartTime,21.922,381.078,21.056
37,Dammam,FullTime,38.135,459.928,21.051
40,Khobar,FullTime,40.538,750.653,12.163
37,Khobar,FullTime,40.156,682.999,13.26
33,Alhasa,FullTime,39.192,368.119,20.103
35,Alhasa,FullTime,39.292,665.567,18.513
20,Dammam,FullTime,42.454,896.797,14.145
27,Dammam,FullTime,40.335,687.174,30.548
35,Dammam,FullTime,39.891,488.676,15.237
23,Dammam,FullTime,39.291,659.014,14.443
43,Dammam,PartTime,23.388,532.515,15.17
18,Dammam,PartTime,23.669,474.062,9.961
43,Dammam,FullTime,42.376,826.842,1.755
29,Dammam,FullTime,40.154,443.635,7.087
54,Dammam,FullTime,39.03,1113.746,18.724
61,Dammam,FullTime,40.74,968.967,17.791
37,Dammam,PartTime,16.288,186.65,9.018
39,Dammam,FullTime,38.94,392.245,7.803
18,Dammam,PartTime,22.272,433.822,12.314
20,Dammam,FullTime,39.852,721.302,7.906
33,Buqaiq,PartTime,21.551,336.547,8.735
25,Dammam,FullTime,41.506,1515.178,7.486
41,Dammam,PartTime,14.938,378.27,15.961
24,Khobar,FullTime,40.525,556.058,7.393
39,Dammam,FullTime,39.613,1389.826,19.98
40,Dammam,FullTime,41.543,577.974,12.415
56,Dammam,FullTime,40.639,730.019,17.528
21,Dammam,FullTime,39.095,382.056,14.366
18,Dammam,FullTime,38.963,485.706,16.174
29,Khobar,FullTime,41.079,1011.392,13.256
18,Dammam,FullTime,41.039,675.622,13.879
64,Dammam,FullTime,40.893,609.801,11.229
49,Khobar,PartTime,16.466,271.522,31.672
38,Dammam,PartTime,19.643,634.063,10.214
31,Khobar,FullTime,39.258,400.82,18.183
23,Dammam,PartTime,21.411,757.933,12.864
48,Dammam,FullTime,39.183,333.684,9.699
24,Dammam,FullTime,38.575,1011.114,7.237
31,Dammam,PartTime,25.601,612.333,16.189
40,Jeddah,FullTime,40.192,845.0,12.927
24,Dammam,FullTime,39.899,983.119,40.0
40,Alhasa,PartTime,22.297,438.015,8.228
49,Dammam,PartTime,23.044,345.579,8.118
32,Dammam,FullTime,38.956,754.439,12.325
42,Dammam,FullTime,39.925,544.792,32.901
70,Dammam,FullTime,40.65,1489.521,11.994
40,Buqaiq,PartTime,19.777,222.332,14.676
30,Dammam,FullTime,39.582,845.216,8.482
21,Dammam,PartTime,21.451,351.821,14.254
37,Alhasa,FullTime,39.789,549.949,3.539
26,Khobar,FullTime,40.127,675.14,10.494
40,Dammam,FullTime,38.095,723.415,24.045
34,Dammam,FullTime,40.05,417.813,13.36
60,Dammam,FullTime,39.981,829.134,3.036
23,Alhasa,FullTime,40.909,598.294,22.215
30,Dammam,FullTime,39.19,320.103,15.304
40,Dammam,PartTime,23.677,533.765,16.566
34,Dammam,FullTime,39.541,486.56,10.972
24,Jubail,PartTime,19.184,276.429,22.372
50,Dammam,FullTime,38.57,770.27,24.727
48,Dammam,FullTime,40.052,1144.644,8.336
18,Dammam,FullTime,39.34,1117.914,17.221
23,Dammam,FullTime,39.751,644.94,6.934
54,Dammam,FullTime,42.344,776.222,25.189
48,Jubail,FullTime,40.698,1428.382,17.354
58,Dammam,FullTime,39.207,426.933,10.502
42,Dammam,PartTime,18.104,379.115,6.841
35,Khobar,PartTime,19.928,326.835,8.362
26,Dammam,FullTime,39.359,455.933,5.982
31,Dammam,PartTime,18.421,310.124,9.303
32,Dammam,PartTime,16.034,250.634,23.766
18,Dammam,FullTime,40.578,460.971,17.97
40,Jubail,FullTime,41.426,728.68,13.104
40,Dammam,FullTime,41.531,594.141,12.781
43,Dammam,FullTime,38.328,1170.232,24.152
26,Dammam,PartTime,15.748,367.744,18.834
56,Dammam,FullTime,39.229,880.252,7.423
35,Dammam,FullTime,38.91,621.804,25.605
57,Khobar,FullTime,39.171,527.175,24.487
50,Khobar,FullTime,39.713,893.235,7.151
52,Dammam,PartTime,23.61,353.45,9.931
22,Dammam,FullTime,41.474,600.355,15.324
55,Dammam,FullTime,40.622,360.309,4.551
18,Dammam,FullTime,40.343,776.519,14.723
48,Alhasa,FullTime,39.244,1394.589,12.812
18,Dammam,FullTime,41.187,1065.023,13.068
44,Dammam,FullTime,39.334,550.046,23.224
30,Dammam,FullTime,39.996,939.616,18.924
59,Dammam,PartTime,16.358,212.271,21.636
26,Dammam,PartTime,18.152,266.51,31.131
41,Jubail,FullTime,38.894,790.849,29.754
65,Alhasa,FullTime,39.59,1036.33,13.395
30,Dammam,FullTime,40.084,450.929,4.432
31,Dammam,FullTime,39.372,758.769,19.42
44,Dammam,FullTime,40.499,679.921,7.08
33,Khobar,FullTime,39.031,582.329,20.534
46,Dammam,FullTime,40.626,693.175,20.675
60,Dammam,FullTime,40.485,463.668,14.064
58,Dammam,FullTime,41.488,612.07,20.953
41,Khobar,FullTime,39.093,1029.946,7.026
24,Khobar,FullTime,38.08,523.063,35.052
24,Khobar,PartTime,18.605,219.331,14.11
29,Dammam,FullTime,40.211,723.73,14.014
58,Dammam,PartTime,17.363,263.946,15.146
28,Dammam,FullTime,37.651,739.835,13.419
63,Dammam,FullTime,40.07,703.725,17.749
28,Dammam,FullTime,41.488,438.806,31.346
18,Khobar,FullTime,39.737,626.991,11.737
23,Dammam,FullTime,41.316,620.122,24.364
41,Dammam,FullTime,41.501,1017.63,18.101
28,Khobar,FullTime,39.45,685.399,9.035
32,Dammam,FullTime,39.753,573.778,22.878
48,Dammam,FullTime,39.825,387.523,12.38
38,Dammam,FullTime,41.341,1406.675,9.155
47,Dammam,FullTime,39.22,953.238,7.496
61,Dammam,FullTime,39.999,727.895,20.746
22,Dammam,FullTime,40.258,579.986,4.583
45,Dammam,FullTime,41.178,610.509,5.581
62,Alhasa,FullTime,40.166,479.687,8.553
42,Dammam,FullTime,39.687,969.032,10.267
45,Dammam,FullTime,39.507,873.875,28.185
32,Dammam,FullTime,40.094,941.804,9.589
18,Khobar,PartTime,15.893,264.722,21.754
43,Dammam,FullTime,40.303,434.773,7.765
44,Buqaiq,FullTime,39.069,581.112,10.849
52,Dammam,FullTime,37.974,743.588,14.335
40,Dammam,FullTime,40.065,649.168,18.805
45,Alhasa,FullTime,39.13,517.751,8.611
50,Dammam,FullTime,40.085,453.643,8.399
61,Dammam,FullTime,39.555,899.302,15.973
48,Dammam,FullTime,40.655,754.264,13.106
23,Alhasa,PartTime,21.544,625.725,10.659
58,Dammam,FullTime,40.342,1283.791,20.623
38,Khobar,FullTime,38.849,1182.033,34.448
58,Dammam,FullTime,40.154,539.437,15.622
19,Dammam,FullTime,40.197,457.397,16.831
50,Dammam,FullTime,39.903,610.808,38.834
59,Dammam,FullTime,37.542,1181.036,21.891
23,Khobar,FullTime,39.087,1024.046,11.653
40,Dammam,FullTime,39.292,865.261,10.084
32,Dammam,FullTime,41.736,643.456,8.974
40,Buqaiq,FullTime,38.773,937.517,24.595
50,Dammam,FullTime,40.257,746.034,10.564
59,Dammam,FullTime,38.978,1229.256,15.13
57,Dammam,FullTime,39.179,506.342,10.782
62,Dammam,FullTime,39.093,598.427,22.559
23,Dammam,FullTime,38.358,1510.613,5.117
24,Dammam,FullTime,41.588,756.605,11.624
43,Dammam,FullTime,41.569,949.721,13.257
29,Dammam,PartTime,20.71,299.993,21.629
18,Dammam,FullTime,41.071,849.287,13.959
31,Khobar,PartTime,21.483,378.018,20.179
50,Dammam,FullTime,39.507,496.952,26.047
45,Dammam,FullTime,41.025,1461.526,7.159
25,Dammam,FullTime,40.067,412.569,20.982
36,Dammam,FullTime,40.122,844.198,21.238
66,Dammam,FullTime,39.483,494.165,8.149
48,Alhasa,PartTime,22.858,372.28,5.695
54,Dammam,PartTime,22.477,456.654,6.308
39,Dammam,FullTime,40.98,598.295,15.981
34,Khobar,FullTime,40.571,663.274,6.366
46,Dammam,PartTime,17.969,289.716,17.39
30,Jeddah,PartTime,22.28,539.514,10.788
57,Khobar,FullTime,39.388,1254.929,23.324
44,Dammam,PartTime,18.975,336.252,23.146
27,Dammam,FullTime,41.103,698.624,22.496
47,Dammam,PartTime,25.3,458.845,7.656
37,Dammam,FullTime,39.062,808.98,13.7
28,Alhasa,FullTime,40.238,632.692,7.386
62,Khobar,FullTime,40.197,825.853,6.986
33,Dammam,FullTime,41.705,309.207,19.275
37,Dammam,PartTime,17.65,296.856,17.529
57,Dammam,FullTime,38.835,485.893,34.698
31,Dammam,FullTime,39.644,988.683,13.087
54,Khobar,FullTime,39.391,808.063,17.376
33,Khobar,PartTime,19.836,301.494,5.304
36,Dammam,PartTime,16.175,401.477,13.357
