gender,nationality,age,education_level,education_field,marital_status,family_residence,region,department,contract_type,employment_type,employee_status,job_level,job_title,performance_rating,remote_status,business_trips,hours_worked,overtime_hours,hourly_rate,weekly_earnings,bonus,percent_salary_hike,annual_bonus,tenure_years,work-life_balance,distance_from_home
Male,Expat_Arab,43,High School,Communication,Married,Other district,Jubail,IT,Fixed Term,FullTime,Active,L1,Designer,4,On Site,Travels rarely,41.031,0.0,15.654,936.876,0.147,0.062,7572.586,5.939,3.348,15.462
Female,Saudi,53,High School,STEM,Married,Within district,Buqaiq,HR,Internship,PartTime,Active,L1,Designer,3,Hybrid,Travels rarely,21.347,4.663,15.441,301.753,0.336,0.088,4984.771,17.069,3.401,23.746
Female,Saudi,27,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,PartTime,Non-Active,L2,Media,3,Remote,Travels rarely,17.245,0.14,18.623,631.736,0.209,0.2,5216.774,19.282,2.683,18.782
Male,Expat_Arab,20,High School,Communication,Married,Within district,Dammam,Finance,Permanent,FullTime,Active,L2,Designer,3,Hybrid,Travels rarely,40.41,2.27,15.359,1315.616,0.093,0.0,4066.868,11.028,2.324,18.433
Male,Saudi,35,High School,Social Science,Married,Other district,Khobar,HR,Internship,FullTime,Active,L1,Designer,3,Hybrid,Travels often,39.46,2.976,18.55,631.982,0.0,0.2,0.0,6.517,2.571,19.558
Male,Expat_Arab,22,Bachelors,Humanities,Married,Within district,Dammam,Sales,Permanent,FullTime,Active,L1,Manager,3,On Site,Travels rarely,39.764,3.575,11.929,335.32,0.296,0.0,4450.761,16.981,3.879,23.26
Female,Saudi,22,High School,Communication,Married,Within district,Dammam,IT,Permanent,FullTime,Active,L1,Manager,2,On Site,Travels rarely,40.689,4.885,11.921,917.218,0.228,0.0,5019.108,23.391,3.596,18.22
Male,Saudi,47,Bachelors,Business,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,5,On Site,Travels rarely,40.827,2.516,11.675,395.401,0.231,0.008,4626.559,24.367,2.365,14.559
Male,Saudi,25,Bachelors,Communication,Unmarried,Within district,Alhasa,HR,Internship,PartTime,Active,L1,Secretary,3,Hybrid,Travels often,17.336,1.245,8.776,64.53,0.093,0.0,503.868,21.058,3.741,16.521
Female,Expat_Europe,39,Masters,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,2,Hybrid,Travels rarely,40.013,6.893,12.494,534.55,0.0,0.001,0.0,6.077,4.054,24.817
Male,Saudi,36,High School,Humanities,Married,Within district,Dammam,HR,Zero Hours,FullTime,Active,L1,Media,5,On Site,Travels rarely,39.578,0.11,12.054,534.398,0.287,0.0,3387.05,9.912,4.298,30.476
Male,Saudi,36,High School,Social Science,Married,Within district,Dammam,HR,Fixed Term,FullTime,Active,L1,Secretary,2,On Site,Travels rarely,38.308,7.592,15.001,477.821,0.081,0.2,1624.813,7.628,3.192,21.635
Male,Saudi,51,High School,STEM,Unmarried,Within district,Dammam,Finance,Internship,PartTime,Active,L1,Media,2,On Site,Travels rarely,18.39,0.979,14.088,232.209,0.0,0.0,0.0,15.198,2.651,11.037
Female,Saudi,48,Bachelors,Social Science,Married,Within district,Dammam,Accounting,Internship,PartTime,Active,L1,Designer,3,Hybrid,Travels often,21.405,0.0,16.941,556.002,0.086,0.0,2666.504,13.961,2.797,23.839
Male,Saudi,27,High School,Communication,Married,Within district,Alhasa,HR,Permanent,PartTime,Active,L1,Secretary,3,On Site,Travels often,17.092,0.0,12.364,270.525,0.334,0.2,2597.465,9.421,3.315,15.577
Male,Saudi,31,Bachelors,Communication,Unmarried,Within district,Dammam,HR,Zero Hours,FullTime,Active,L1,Designer,3,Hybrid,Travels rarely,38.725,9.161,14.092,587.912,0.097,0.129,1764.883,14.872,3.949,21.471
Male,Saudi,23,High School,STEM,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,3,On Site,Travels rarely,38.631,1.902,14.656,715.231,0.006,0.11,230.05,19.769,3.593,29.023
Male,Saudi,44,High School,Humanities,Unmarried,Within district,Alhasa,HR,Permanent,PartTime,Active,L1,Designer,4,On Site,Travels rarely,18.374,1.546,11.971,209.116,0.0,0.2,0.0,17.606,2.469,29.808
Male,Saudi,40,High School,Business,Married,Within district,Alhasa,HR,Internship,PartTime,Active,L1,Designer,4,On Site,Travels rarely,18.797,0.0,19.624,308.457,0.281,0.2,4143.013,12.054,3.993,23.478
Male,Saudi,20,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,3,Hybrid,Travels often,38.992,1.727,16.998,659.853,0.0,0.2,0.0,8.137,4.382,27.353
Male,Saudi,38,High School,Communication,Married,Within district,Dammam,HR,Fixed Term,FullTime,Active,L1,Media,3,On Site,Travels often,40.289,12.972,13.21,849.614,0.029,0.2,1495.979,6.344,2.745,25.596
Male,Saudi,30,High School,STEM,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Manager,3,On Site,Travels rarely,40.718,2.01,18.332,814.095,0.013,0.136,715.288,20.98,3.437,21.843
Male,Saudi,39,High School,Business,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Sales,3,On Site,Travels rarely,39.597,1.186,11.019,391.766,0.117,0.0,5985.374,26.485,3.96,14.834
Male,Saudi,34,High School,STEM,Married,Within district,Khobar,HR,Fixed Term,PartTime,Active,L1,Sales,4,Hybrid,Travels rarely,24.834,1.239,15.066,317.695,0.0,0.2,0.0,19.04,3.589,23.81
Male,Saudi,18,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Manager,3,Hybrid,Travels rarely,39.929,0.043,22.245,2069.146,0.191,0.0,14966.836,8.715,5.0,23.033
Female,Expat_Arab,48,High School,Communication,Unmarried,Other district,Dammam,HR,Permanent,FullTime,Non-Active,L2,Media,3,Hybrid,Travels often,40.365,4.813,19.1,1288.909,0.0,0.125,0.0,8.922,3.247,25.626
Male,Saudi,29,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Designer,3,On Site,Travels rarely,18.986,1.81,14.864,368.794,0.054,0.1,800.381,11.238,3.291,24.802
Female,Saudi,33,High School,Communication,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Designer,2,On Site,Travels rarely,41.119,5.354,10.188,448.323,0.0,0.2,0.0,9.655,3.672,12.478
Male,Saudi,38,Bachelors,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Secretary,2,Hybrid,Travels rarely,38.859,9.817,12.104,468.24,0.0,0.0,0.0,10.931,4.085,15.541
Male,Saudi,30,Bachelors,STEM,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Secretary,3,Hybrid,Travels rarely,20.382,2.292,15.493,308.355,0.063,0.087,780.54,10.598,4.109,21.53
Female,Saudi,31,High School,Social Science,Married,Within district,Dammam,HR,Internship,PartTime,Active,L1,Media,2,Hybrid,Travels rarely,18.667,0.898,15.674,297.374,0.005,0.051,55.854,20.832,2.23,14.58
Male,Saudi,44,High School,STEM,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Designer,2,On Site,Travels often,20.04,0.44,16.574,678.574,0.0,0.0,0.0,16.556,3.694,22.61
Male,Saudi,23,High School,Communication,Unmarried,Other district,Dammam,HR,Permanent,FullTime,Active,L4,Sales,4,Hybrid,Travels rarely,39.259,0.0,32.005,11883.014,0.158,0.161,775838.336,9.638,2.756,6.861
Male,Saudi,62,High School,STEM,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Manager,2,On Site,Travels often,39.363,4.22,16.109,475.421,0.0,0.0,0.0,17.91,2.08,15.924
Male,Expat_Arab,25,High School,Humanities,Unmarried,Other district,Dammam,Finance,Zero Hours,PartTime,Active,L1,Media,4,On Site,Travels rarely,21.763,1.715,8.316,281.84,0.239,0.2,6047.036,20.841,4.643,11.725
Male,Saudi,43,Bachelors,STEM,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Sales,2,Hybrid,Travels rarely,39.914,6.335,16.275,520.326,0.0,0.2,0.0,8.665,4.146,21.005
Male,Saudi,29,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,3,On Site,Travels rarely,40.614,0.151,16.262,605.178,0.0,0.165,0.0,22.676,4.754,24.77
Male,Saudi,41,High School,Business,Married,Within district,Khobar,IT,Permanent,FullTime,Active,L1,Media,3,Hybrid,Travels rarely,39.433,4.727,13.314,625.151,0.0,0.177,0.0,26.065,3.962,19.453
Male,Expat_Arab,50,Bachelors,Business,Unmarried,Within district,Buqaiq,Finance,Zero Hours,FullTime,Active,L1,Manager,2,On Site,Travels rarely,40.123,6.541,15.027,387.038,0.0,0.2,0.0,19.581,3.545,13.07
Male,Saudi,53,High School,Communication,Married,Other district,Dammam,HR,Zero Hours,PartTime,Active,L1,Analyst,2,Hybrid,Travels rarely,24.518,0.112,8.831,142.566,0.0,0.0,0.0,17.462,3.237,22.616
Male,Saudi,64,High School,Humanities,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Manager,2,On Site,Travels rarely,22.541,0.82,14.758,385.573,0.0,0.036,0.0,16.583,3.854,35.12
Female,Saudi,26,High School,Communication,Married,Other district,Dammam,HR,Zero Hours,FullTime,Active,L1,Media,1,Hybrid,Travels often,40.217,4.955,14.282,490.99,0.152,0.0,3070.443,10.104,3.348,22.112
Male,Saudi,24,High School,Communication,Unmarried,Within district,Dammam,Finance,Fixed Term,PartTime,Active,L1,Media,1,Hybrid,Travels rarely,16.531,2.199,14.489,237.511,0.068,0.0,749.174,2.925,3.302,33.178
Male,Saudi,38,High School,Business,Married,Within district,Dammam,Finance,Permanent,FullTime,Active,L1,Sales,4,On Site,Travels rarely,40.151,0.0,16.323,969.398,0.066,0.2,5836.016,8.353,5.0,18.016
Male,Saudi,21,High School,STEM,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Sales,5,On Site,Travels rarely,17.505,0.044,18.429,510.546,0.076,0.0,1053.203,10.239,3.08,19.12
Male,Saudi,37,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,Remote,Travels often,41.104,6.477,13.205,763.542,0.367,0.056,28480.025,18.719,3.881,22.181
Female,Saudi,59,High School,Social Science,Unmarried,Within district,Khobar,HR,Fixed Term,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.761,2.894,15.708,560.954,0.057,0.17,2378.136,22.508,3.436,16.922
Male,Saudi,18,High School,Business,Unmarried,Other district,Khobar,HR,Permanent,PartTime,Active,L1,Analyst,2,On Site,Travels rarely,19.376,0.749,12.942,161.595,0.0,0.0,0.0,13.212,4.434,14.79
Male,Expat_Europe,34,High School,Communication,Married,Other district,Dammam,HR,Permanent,PartTime,Active,L1,Media,3,On Site,Travels rarely,17.771,0.17,14.211,399.034,0.0,0.196,0.0,30.817,4.054,18.067
Female,Saudi,50,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L3,Sales,5,On Site,Travels rarely,39.638,4.992,21.374,1477.731,0.205,0.129,17487.788,8.556,3.887,23.461
Male,Saudi,21,Bachelors,Humanities,Unmarried,Within district,Dammam,HR,Internship,FullTime,Active,L1,Designer,1,On Site,Travels often,41.123,6.598,14.086,407.74,0.0,0.2,0.0,14.868,4.223,15.649
Male,Saudi,32,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Designer,3,On Site,Travels rarely,18.469,0.187,11.721,191.588,0.098,0.0,1118.696,2.401,3.4,15.57
Male,Saudi,42,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Media,3,Hybrid,Travels rarely,38.46,3.826,13.923,500.816,0.01,0.0,310.14,15.33,2.502,17.631
Male,Saudi,20,High School,Humanities,Unmarried,Within district,Dammam,HR,Fixed Term,FullTime,Active,L2,Analyst,3,Hybrid,Travels rarely,40.781,3.893,19.162,1134.609,0.091,0.0,6083.143,21.927,3.134,25.338
Male,Saudi,36,High School,Humanities,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,4,On Site,Travels rarely,41.289,3.76,12.599,281.324,0.222,0.12,1971.605,20.434,3.477,23.893
Male,Saudi,58,High School,Communication,Unmarried,Within district,Dammam,Customer Support,Permanent,FullTime,Active,L1,Analyst,3,On Site,Travels rarely,41.522,7.988,12.464,296.731,0.205,0.044,3743.182,10.68,2.02,27.204
Male,Saudi,41,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Manager,3,On Site,Travels rarely,39.703,3.491,13.136,341.165,0.0,0.0,0.0,17.894,4.204,14.818
Male,Saudi,22,High School,Business,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Secretary,5,Remote,Travels rarely,38.372,9.747,18.191,855.821,0.4,0.0,17852.888,17.296,4.958,11.994
Male,Saudi,41,Masters,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,39.824,11.089,13.072,909.045,0.174,0.178,3176.479,19.325,2.957,15.311
Female,Saudi,39,High School,Humanities,Married,Within district,Dammam,HR,Fixed Term,PartTime,Active,L1,Designer,4,Remote,Travels rarely,21.128,0.0,12.163,410.008,0.003,0.0,46.651,14.524,3.893,39.468
Male,Saudi,44,High School,Social Science,Married,Other district,Khobar,HR,Permanent,FullTime,Active,L1,Designer,1,Hybrid,Travels rarely,39.658,7.447,17.366,698.574,0.0,0.0,0.0,22.439,1.873,12.829
Female,Saudi,25,High School,Communication,Unmarried,Within district,Dammam,Finance,Permanent,PartTime,Active,L1,Designer,3,On Site,Travels rarely,21.12,3.661,12.149,323.101,0.186,0.0,5560.666,18.374,2.716,24.684
Male,Saudi,47,PhD,Humanities,Unmarried,Other district,Dammam,HR,Internship,FullTime,Active,L1,Designer,3,Hybrid,Travels rarely,40.112,0.132,11.559,459.112,0.3,0.005,6337.033,12.721,2.601,25.921
Male,Saudi,40,High School,Business,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Analyst,4,On Site,Travels rarely,39.344,0.0,18.73,883.29,0.077,0.0,1981.508,7.486,3.078,20.065
Male,Saudi,46,High School,Business,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,3,On Site,Travels rarely,42.3,1.586,15.286,809.347,0.122,0.2,5272.615,23.564,4.47,16.181
Male,Saudi,54,High School,Business,Married,Within district,Dammam,Finance,Internship,PartTime,Active,L1,Media,4,On Site,Travels rarely,18.113,1.027,16.448,443.364,0.235,0.0,3030.981,12.027,4.465,14.146
Female,Saudi,35,High School,Social Science,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.4,8.966,14.882,854.963,0.106,0.147,3189.665,17.959,3.217,26.055
Female,Saudi,44,High School,STEM,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Non-Active,L1,Designer,1,Hybrid,Travels rarely,39.631,0.0,19.622,628.764,0.039,0.082,839.08,16.784,2.15,20.276
Male,Expat_Arab,29,High School,Social Science,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.821,4.569,14.147,377.964,0.4,0.057,7060.845,12.523,4.462,28.325
Male,Saudi,32,High School,Humanities,Unmarried,Within district,Dammam,Finance,Permanent,FullTime,Active,L2,Media,4,Hybrid,Travels rarely,40.913,3.047,17.13,2839.993,0.392,0.2,106362.089,6.533,2.767,20.681
Male,Saudi,55,High School,Humanities,Unmarried,Within district,Dammam,HR,Fixed Term,FullTime,Active,L1,Analyst,3,On Site,Travels rarely,40.08,7.751,11.115,396.693,0.168,0.038,3241.615,24.655,3.933,19.427
Male,Saudi,18,High School,Humanities,Unmarried,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,4,On Site,Travels rarely,38.352,7.643,13.232,630.879,0.191,0.2,4403.97,16.325,3.704,15.417
Male,Saudi,62,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,4,On Site,Travels rarely,40.564,1.834,11.799,521.208,0.381,0.065,16455.189,16.855,3.253,17.607
Male,Saudi,64,High School,Social Science,Married,Within district,Alhasa,HR,Internship,PartTime,Active,L1,Designer,2,On Site,Travels rarely,18.959,0.335,17.991,428.054,0.319,0.0,7093.936,7.213,4.231,15.751
Female,Saudi,31,High School,Social Science,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,Hybrid,Travels rarely,40.647,0.007,15.143,851.167,0.045,0.0,1859.748,21.055,2.242,23.799
Male,Saudi,54,High School,STEM,Married,Other district,Dammam,HR,Permanent,PartTime,Active,L1,Designer,2,On Site,Travels rarely,19.452,0.0,17.016,492.665,0.0,0.0,0.0,9.928,2.512,37.264
Male,Saudi,23,Masters,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Sales,3,On Site,Travels rarely,23.146,0.381,16.394,394.285,0.04,0.06,394.065,18.987,4.452,28.167
Male,Saudi,39,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L4,Media,3,Hybrid,Travels rarely,38.754,8.876,33.317,4931.07,0.159,0.158,85113.478,24.903,3.109,16.303
Male,Saudi,18,High School,Humanities,Married,Other district,Dammam,Finance,Fixed Term,FullTime,Active,L1,Sales,3,On Site,Travels rarely,41.24,9.249,12.924,677.771,0.0,0.048,0.0,17.852,3.193,23.512
Male,Saudi,50,High School,Business,Unmarried,Within district,Dammam,HR,Zero Hours,PartTime,Active,L1,Media,3,Hybrid,Travels rarely,15.795,5.082,17.109,277.632,0.138,0.016,1660.81,20.278,2.632,37.803
Male,Saudi,44,High School,Social Science,Married,Other district,Dammam,HR,Zero Hours,FullTime,Active,L1,Analyst,4,Hybrid,Travels rarely,40.741,8.407,13.878,627.429,0.155,0.191,4636.138,26.621,2.581,16.837
Female,Saudi,49,High School,Humanities,Married,Within district,Dammam,HR,Fixed Term,FullTime,Active,L2,Media,3,On Site,Travels rarely,40.09,0.016,15.148,850.107,0.127,0.0,4227.111,12.24,4.935,16.122
Male,Saudi,38,High School,Business,Unmarried,Within district,Dammam,HR,Fixed Term,FullTime,Active,L1,Media,3,Hybrid,Travels often,40.162,0.824,14.35,392.691,0.157,0.2,2218.256,19.762,3.109,14.427
Male,Saudi,44,High School,Business,Married,Other district,Dammam,HR,Permanent,PartTime,Active,L2,Manager,2,Hybrid,Travels often,16.703,4.515,15.58,184.02,0.06,0.051,293.278,13.485,4.178,11.803
Female,Saudi,32,High School,STEM,Unmarried,Other district,Dammam,HR,Permanent,FullTime,Active,L3,Analyst,2,On Site,Travels rarely,41.274,0.0,28.916,4625.553,0.225,0.0,61490.237,7.642,3.661,19.589
Male,Saudi,37,High School,Business,Unmarried,Within district,Khobar,HR,Permanent,PartTime,Active,L1,Media,3,Hybrid,Travels rarely,18.587,0.09,16.316,291.232,0.317,0.172,5963.344,8.125,3.767,13.129
Male,Saudi,23,High School,STEM,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,3,Hybrid,Travels rarely,39.796,1.063,16.37,941.426,0.108,0.0,3686.305,27.14,2.697,23.703
Male,Saudi,42,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Designer,2,On Site,Travels rarely,18.875,2.23,14.415,212.721,0.0,0.0,0.0,11.15,3.218,17.056
Female,Saudi,61,High School,Communication,Married,Other district,Dammam,HR,Zero Hours,FullTime,Active,L1,Designer,4,On Site,Travels rarely,40.97,0.039,12.245,552.306,0.008,0.0,150.509,28.806,3.645,21.715
Male,Saudi,30,High School,Business,Married,Within district,Dammam,HR,Internship,PartTime,Active,L1,Media,2,Hybrid,Travels rarely,19.398,1.327,16.022,457.872,0.056,0.0,1903.938,4.998,2.67,19.727
Male,Saudi,44,Masters,Humanities,Unmarried,Within district,Dammam,Finance,Permanent,FullTime,Active,L1,Secretary,4,Hybrid,Travels rarely,39.099,0.0,12.17,560.63,0.134,0.046,4663.619,10.667,3.45,41.277
Male,Saudi,25,High School,Business,Married,Within district,Dammam,Finance,Internship,PartTime,Active,L3,Designer,3,Hybrid,Travels rarely,18.808,5.112,29.735,2845.399,0.192,0.2,31223.139,13.646,3.466,29.11
Male,Expat_Arab,62,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Sales,2,Hybrid,Travels rarely,40.979,0.144,17.834,1509.614,0.0,0.0,0.0,6.435,3.4,17.253
Male,Saudi,25,Bachelors,Communication,Unmarried,Within district,Dammam,HR,Internship,FullTime,Active,L2,Analyst,3,On Site,Travels rarely,40.625,4.496,20.101,1388.952,0.0,0.068,0.0,18.192,2.455,28.246
Male,Saudi,28,High School,STEM,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.096,0.0,16.613,619.964,0.0,0.0,0.0,8.941,2.633,20.297
Male,Saudi,24,High School,Business,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L3,Designer,4,Hybrid,Travels rarely,39.53,10.184,27.224,2890.887,0.371,0.0,70885.431,10.234,3.937,21.12
Female,Saudi,24,High School,Communication,Married,Other district,Alhasa,Finance,Permanent,FullTime,Non-Active,L1,Designer,2,On Site,Travels rarely,40.678,10.026,10.862,552.699,0.034,0.056,1743.39,14.655,3.287,14.016
Female,Saudi,18,High School,STEM,Married,Within district,Khobar,Finance,Permanent,PartTime,Active,L1,Sales,3,On Site,Travels rarely,17.969,0.043,17.862,1013.901,0.066,0.0,3328.301,22.293,5.0,20.731
Female,Saudi,34,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Designer,3,Hybrid,Travels rarely,40.796,0.497,18.22,633.19,0.067,0.0,2699.772,19.735,2.66,21.67
Female,Expat_Arab,66,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Sales,3,Hybrid,Travels rarely,40.463,8.553,11.966,396.536,0.0,0.0,0.0,22.089,4.089,21.636
Male,Saudi,59,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,4,On Site,Travels rarely,37.801,3.215,13.957,491.384,0.055,0.046,1964.153,40.0,2.855,15.799
Female,Saudi,30,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Designer,2,On Site,Travels rarely,21.426,3.75,16.144,448.496,0.024,0.0,720.739,7.199,3.624,17.691
Male,Saudi,39,High School,Humanities,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,3,On Site,Travels rarely,24.729,0.342,15.264,874.122,0.0,0.179,0.0,8.642,2.823,18.731
Male,Saudi,42,High School,Communication,Married,Other district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.69,10.792,13.58,790.431,0.0,0.147,0.0,10.871,3.38,21.897
Male,Saudi,18,High School,Business,Married,Other district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,3,On Site,Travels often,40.315,0.869,17.078,1149.637,0.141,0.0,15127.317,27.661,5.0,12.522
Male,Saudi,27,High School,Social Science,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Manager,3,Remote,Travels rarely,39.92,1.775,11.588,449.284,0.134,0.0,3541.479,8.633,3.622,20.677
Male,Expat_Arab,25,High School,Social Science,Married,Within district,Dammam,HR,Fixed Term,FullTime,Active,L2,Sales,4,On Site,Travels rarely,39.7,8.765,19.049,1189.474,0.021,0.2,862.631,7.972,4.05,14.669
Male,Saudi,39,High School,Social Science,Unmarried,Within district,Dammam,HR,Fixed Term,FullTime,Active,L1,Manager,3,Remote,Travels rarely,40.853,12.317,17.587,1128.45,0.169,0.012,15320.536,10.291,3.821,10.657
Female,Saudi,45,High School,Communication,Married,Within district,Dammam,Accounting,Permanent,FullTime,Active,L1,Designer,2,On Site,Travels rarely,39.546,8.277,13.321,597.608,0.0,0.2,0.0,9.349,2.781,18.839
