gender,nationality,age,education_level,education_field,marital_status,family_residence,region,department,contract_type,employment_type,employee_status,job_level,job_title,performance_rating,remote_status,business_trips,hours_worked,overtime_hours,hourly_rate,weekly_earnings,bonus,percent_salary_hike,annual_bonus,tenure_years,work-life_balance,distance_from_home
Female,Expat_Arab,19,High School,Humanities,Unmarried,Within district,Dammam,HR,Fixed Term,FullTime,Active,L1,Designer,3,On Site,Travels rarely,40.537,5.193,9.744,437.916,0.151,0.106,2454.579,7.241,4.411,9.268
Male,Expat_Asia,23,PhD,Social Science,Unmarried,Within district,Dammam,IT,Permanent,PartTime,Active,L1,Media,3,Remote,Travels rarely,18.098,0.087,17.087,253.796,0.006,0.139,94.081,26.685,3.89,12.655
Female,Expat_Arab,43,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,3,On Site,Travels rarely,39.919,1.691,10.743,815.344,0.132,0.076,4816.632,15.552,2.178,39.717
Female,Saudi,61,High School,Humanities,Unmarried,Within district,Dammam,Finance,Permanent,PartTime,Active,L1,Media,3,On Site,Travels rarely,21.321,0.015,11.193,245.781,0.045,0.0,1596.503,21.997,2.9,13.195
Male,Saudi,34,High School,Business,Married,Within district,Khobar,HR,Permanent,FullTime,Active,L2,Media,3,Hybrid,Travels rarely,40.422,3.087,21.398,1716.179,0.0,0.113,0.0,21.018,3.211,22.237
Male,Saudi,26,High School,Humanities,Married,Other district,Khobar,Sales,Permanent,PartTime,Active,L1,Analyst,3,Hybrid,Travels rarely,22.411,0.0,11.658,161.051,0.0,0.073,0.0,14.457,3.401,15.09
Male,Saudi,41,Bachelors,Communication,Unmarried,Other district,Dammam,HR,Internship,FullTime,Active,L2,Analyst,2,Hybrid,Travels rarely,40.224,4.904,14.964,570.407,0.04,0.0,949.43,14.714,2.399,19.795
Male,Expat_Arab,37,High School,Humanities,Married,Within district,Dammam,HR,Zero Hours,FullTime,Active,L1,Manager,2,Hybrid,Travels rarely,38.967,5.845,14.839,854.707,0.0,0.0,0.0,19.864,2.979,14.385
Female,Saudi,34,Masters,STEM,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Manager,2,On Site,Travels often,20.346,0.462,17.576,697.352,0.0,0.0,0.0,12.508,2.255,14.782
Male,Saudi,63,High School,Social Science,Unmarried,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Secretary,3,On Site,Travels rarely,18.626,1.089,13.342,341.81,0.127,0.0,1215.966,17.21,4.091,20.291
Female,Saudi,32,Masters,Social Science,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L5,Designer,4,On Site,Travels rarely,40.491,0.702,54.578,14125.23,0.195,0.1,6427643.675,7.418,2.645,14.822
Male,Saudi,38,High School,Business,Married,Within district,Dammam,HR,Internship,FullTime,Non-Active,L1,Media,3,On Site,Travels rarely,39.315,0.0,15.533,380.847,0.0,0.2,0.0,30.388,3.171,27.463
Male,Saudi,26,High School,Social Science,Unmarried,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,2,Remote,Travels rarely,40.426,10.925,18.218,990.476,0.0,0.2,0.0,15.062,3.335,19.155
Male,Saudi,30,High School,Social Science,Married,Other district,Khobar,HR,Fixed Term,FullTime,Active,L1,Manager,3,Remote,Travels rarely,39.211,2.999,13.481,392.834,0.0,0.039,0.0,11.439,3.585,19.104
Male,Saudi,57,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Sales,2,On Site,Travels rarely,40.505,1.326,11.418,663.127,0.0,0.008,0.0,10.171,3.896,18.652
Male,Saudi,52,Bachelors,STEM,Unmarried,Within district,Dammam,HR,Zero Hours,PartTime,Active,L1,Secretary,2,Remote,Travels often,14.882,0.0,16.31,246.01,0.246,0.2,2975.978,10.915,4.086,8.248
Female,Saudi,29,High School,Humanities,Unmarried,Within district,Dammam,IT,Internship,FullTime,Active,L1,Manager,3,Hybrid,Travels rarely,40.488,6.949,10.709,547.964,0.089,0.101,2993.631,23.796,1.823,15.853
Male,Saudi,28,High School,Communication,Married,Other district,Dammam,HR,Permanent,PartTime,Active,L1,Analyst,3,Hybrid,Travels often,20.76,5.001,12.041,276.183,0.0,0.2,0.0,6.31,2.592,26.491
Male,Saudi,43,Bachelors,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Manager,3,On Site,Travels rarely,39.759,5.939,10.452,632.514,0.0,0.061,0.0,14.015,4.06,26.112
Female,Saudi,22,High School,STEM,Unmarried,Within district,Dammam,HR,Internship,PartTime,Active,L1,Media,5,Remote,Travels rarely,24.216,4.594,17.54,267.286,0.231,0.055,1437.146,28.107,4.048,18.129
Male,Saudi,43,Masters,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,3,On Site,Travels rarely,20.148,2.421,14.849,272.754,0.0,0.2,0.0,27.057,3.195,20.185
Male,Saudi,18,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Manager,3,On Site,Travels rarely,39.263,0.112,11.577,385.664,0.047,0.2,884.027,17.507,3.493,17.131
Female,Saudi,55,Bachelors,Communication,Married,Other district,Dammam,Accounting,Permanent,FullTime,Active,L1,Designer,2,Hybrid,Travels rarely,39.668,9.191,13.746,585.132,0.098,0.011,2949.617,24.22,4.168,25.611
Male,Saudi,43,High School,Humanities,Unmarried,Within district,Alhasa,HR,Internship,FullTime,Active,L2,Secretary,4,Hybrid,Travels rarely,39.219,6.008,12.903,582.097,0.12,0.164,1758.864,32.105,4.857,21.985
Male,Saudi,23,High School,Humanities,Married,Other district,Jeddah,HR,Internship,PartTime,Active,L1,Secretary,3,On Site,Travels rarely,24.166,1.012,9.578,256.952,0.137,0.093,1288.38,7.569,4.966,25.858
Male,Saudi,38,Masters,Communication,Married,Within district,Buqaiq,HR,Permanent,PartTime,Active,L1,Designer,4,Hybrid,Travels rarely,21.011,0.438,13.803,350.893,0.0,0.0,0.0,13.438,2.253,11.876
Male,Saudi,60,Masters,Business,Married,Within district,Dammam,HR,Internship,FullTime,Active,L4,Secretary,3,On Site,Travels rarely,39.763,4.066,41.196,5811.336,0.085,0.0,53533.935,25.872,2.155,18.288
Male,Saudi,60,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,2,On Site,Travels rarely,41.378,3.081,13.201,531.918,0.0,0.2,0.0,16.797,2.495,18.621
Male,Saudi,37,High School,Communication,Married,Within district,Dammam,IT,Internship,FullTime,Active,L1,Media,3,Remote,Travels rarely,41.7,6.073,12.995,415.351,0.0,0.2,0.0,15.816,3.08,12.938
Male,Saudi,32,High School,Social Science,Unmarried,Within district,Khobar,HR,Permanent,PartTime,Active,L2,Manager,3,Remote,Travels often,17.747,0.215,19.894,371.573,0.092,0.13,1658.351,15.556,3.857,24.355
Male,Saudi,27,High School,Communication,Married,Within district,Khobar,HR,Zero Hours,FullTime,Active,L1,Sales,4,On Site,Travels rarely,37.986,0.0,11.484,594.825,0.4,0.0,11965.112,11.057,3.175,8.518
Female,Saudi,27,High School,Communication,Married,Within district,Khobar,HR,Internship,FullTime,Active,L1,Designer,3,On Site,Travels rarely,41.162,11.658,12.019,617.46,0.061,0.0,1383.02,12.65,3.987,21.711
Female,Saudi,54,High School,Humanities,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L2,Manager,4,On Site,Travels often,17.863,0.077,16.446,291.821,0.0,0.2,0.0,18.269,3.808,19.83
Female,Saudi,21,High School,Communication,Married,Within district,Khobar,Finance,Internship,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.506,3.016,13.512,1162.924,0.0,0.2,0.0,17.122,3.766,20.234
Male,Saudi,32,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Designer,1,On Site,Travels rarely,41.647,6.641,18.143,1521.581,0.207,0.0,9354.559,4.708,4.322,8.943
Female,Expat_Arab,24,High School,STEM,Unmarried,Within district,Dammam,Finance,Internship,PartTime,Active,L1,Analyst,3,Remote,Travels rarely,24.691,0.654,17.364,624.721,0.0,0.133,0.0,30.443,4.143,13.471
Male,Expat_US,24,High School,Humanities,Unmarried,Within district,Jubail,IT,Zero Hours,FullTime,Active,L1,Sales,3,On Site,Travels often,39.812,2.62,11.351,602.084,0.232,0.063,7072.813,19.76,3.411,16.799
Male,Saudi,42,High School,Humanities,Married,Within district,Dammam,Finance,Permanent,FullTime,Active,L1,Designer,3,Hybrid,Travels rarely,41.01,2.637,9.91,280.156,0.145,0.04,983.256,11.727,4.533,18.628
Male,Saudi,58,High School,Communication,Married,Within district,Jeddah,HR,Permanent,PartTime,Active,L2,Sales,4,On Site,Travels rarely,25.718,2.775,17.662,563.573,0.183,0.0,4404.89,26.456,3.846,28.568
Male,Saudi,21,Bachelors,Business,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Manager,3,On Site,Travels often,38.911,0.069,14.214,616.619,0.0,0.173,0.0,19.359,2.551,15.33
Male,Saudi,45,High School,Communication,Married,Within district,Khobar,Finance,Permanent,FullTime,Active,L1,Media,1,On Site,Travels rarely,42.009,0.0,15.531,319.26,0.0,0.031,0.0,18.912,4.352,16.141
Male,Saudi,50,High School,Social Science,Unmarried,Within district,Dammam,IT,Zero Hours,FullTime,Active,L1,Media,4,Hybrid,Travels often,40.422,6.794,16.979,616.876,0.363,0.081,23576.899,8.628,3.063,18.133
Male,Expat_Arab,24,High School,Social Science,Married,Other district,Dammam,HR,Internship,FullTime,Active,L2,Media,3,On Site,Travels often,39.71,0.096,15.661,472.088,0.0,0.0,0.0,13.996,3.28,15.079
Male,Saudi,45,High School,Social Science,Married,Other district,Dammam,HR,Permanent,FullTime,Active,L1,Sales,3,Hybrid,Travels rarely,39.738,0.201,15.208,521.027,0.297,0.011,3384.128,7.826,3.483,19.695
Male,Expat_Arab,46,High School,Social Science,Married,Other district,Khobar,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels often,40.283,0.0,12.719,228.438,0.101,0.0,491.814,23.807,2.821,26.149
Male,Saudi,52,Bachelors,Business,Unmarried,Within district,Dammam,HR,Zero Hours,PartTime,Active,L1,Media,1,Remote,Travels rarely,20.959,0.183,14.606,393.649,0.0,0.0,0.0,24.238,3.51,33.546
Female,Saudi,18,High School,Humanities,Unmarried,Within district,Dammam,Finance,Permanent,FullTime,Active,L1,Sales,1,Remote,Travels rarely,40.233,3.678,10.684,408.945,0.277,0.028,3921.202,12.318,1.812,15.514
Male,Saudi,24,Bachelors,Business,Married,Within district,Dammam,Finance,Permanent,FullTime,Active,L1,Designer,1,On Site,Travels rarely,41.964,6.861,15.781,757.913,0.0,0.0,0.0,14.566,2.391,25.191
Male,Expat_Europe,35,High School,Social Science,Unmarried,Within district,Dammam,HR,Permanent,PartTime,Active,L2,Designer,3,Hybrid,Travels rarely,20.714,2.099,20.991,507.046,0.0,0.196,0.0,15.987,3.087,19.584
Female,Expat_Asia,53,High School,STEM,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,3,On Site,Travels rarely,41.326,3.157,17.139,1202.744,0.0,0.0,0.0,6.985,3.667,17.583
Male,Saudi,32,High School,Business,Unmarried,Within district,Khobar,HR,Fixed Term,PartTime,Active,L1,Media,3,On Site,Travels rarely,15.921,2.97,15.688,309.214,0.0,0.135,0.0,6.896,4.418,11.388
Male,Saudi,32,High School,Business,Married,Within district,Dammam,HR,Internship,FullTime,Non-Active,L2,Designer,3,On Site,Travels rarely,41.472,0.221,24.433,896.051,0.0,0.087,0.0,7.149,3.499,14.853
Male,Expat_Arab,36,High School,Social Science,Married,Within district,Khobar,HR,Permanent,FullTime,Active,L1,Sales,4,On Site,Travels often,38.944,8.205,16.276,663.615,0.194,0.073,8312.438,29.092,3.156,19.05
Male,Saudi,36,High School,STEM,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L5,Designer,4,On Site,Travels rarely,40.47,0.035,53.066,11765.031,0.211,0.064,4023941.771,5.465,2.965,28.856
Male,Saudi,38,Bachelors,STEM,Unmarried,Within district,Dammam,HR,Fixed Term,PartTime,Active,L2,Manager,3,Hybrid,Travels rarely,19.774,2.803,18.189,340.984,0.0,0.024,0.0,17.321,3.262,27.621
Male,Saudi,56,Masters,Business,Unmarried,Other district,Jeddah,HR,Permanent,PartTime,Active,L1,Analyst,3,On Site,Travels rarely,15.066,3.575,18.887,195.562,0.025,0.0,247.856,9.777,3.983,13.071
Male,Saudi,54,High School,Humanities,Married,Within district,Dammam,HR,Fixed Term,PartTime,Active,L2,Media,2,Hybrid,Travels often,16.578,0.037,21.824,589.738,0.0,0.085,0.0,11.743,3.346,13.054
Male,Saudi,45,High School,Humanities,Unmarried,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,2,On Site,Travels rarely,38.799,8.999,12.606,621.67,0.0,0.0,0.0,17.862,3.597,22.594
Male,Saudi,49,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Manager,2,Hybrid,Travels rarely,21.37,0.0,13.341,219.47,0.0,0.007,0.0,21.581,3.501,17.707
Male,Saudi,24,High School,Humanities,Unmarried,Other district,Dammam,HR,Internship,FullTime,Active,L1,Manager,3,On Site,Travels rarely,39.231,3.134,11.713,309.64,0.252,0.08,4045.638,13.738,3.001,20.968
Female,Saudi,18,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Sales,3,On Site,Travels rarely,39.539,0.186,12.612,344.548,0.0,0.113,0.0,17.825,4.81,14.133
Female,Expat_Asia,39,Bachelors,Business,Unmarried,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,2,Remote,Travels rarely,38.866,10.944,12.757,294.664,0.0,0.0,0.0,16.389,4.015,24.943
Male,Saudi,31,High School,Humanities,Married,Within district,Dammam,HR,Fixed Term,FullTime,Active,L1,Manager,4,On Site,Travels often,40.796,5.35,17.795,759.837,0.219,0.0,6820.975,13.692,3.958,17.416
Female,Expat_Asia,54,High School,Humanities,Married,Within district,Buqaiq,IT,Permanent,FullTime,Active,L2,Designer,3,On Site,Travels rarely,39.698,7.281,11.392,941.99,0.0,0.067,0.0,12.762,3.859,22.295
Female,Expat_Arab,20,Bachelors,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Media,3,Hybrid,Travels often,40.913,4.304,14.533,1235.002,0.0,0.082,0.0,18.347,3.192,16.164
Male,Saudi,41,Bachelors,Humanities,Unmarried,Within district,Dammam,Accounting,Permanent,PartTime,Active,L1,Analyst,5,Remote,Travels rarely,16.977,0.0,12.365,224.089,0.271,0.2,3899.429,12.963,3.693,23.048
Male,Saudi,43,High School,Social Science,Married,Within district,Dammam,Finance,Permanent,PartTime,Active,L1,Designer,3,Hybrid,Travels rarely,16.191,0.348,17.174,610.464,0.169,0.065,4209.82,16.261,3.9,31.211
Male,Expat_Arab,43,High School,Humanities,Married,Within district,Buqaiq,Customer Support,Permanent,FullTime,Active,L2,Media,2,Hybrid,Travels rarely,41.392,5.946,19.459,1060.251,0.116,0.2,4322.896,12.335,3.188,21.382
Male,Saudi,47,High School,Humanities,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.078,0.26,13.888,342.204,0.15,0.056,3949.899,5.193,3.612,21.73
Male,Saudi,37,Masters,Communication,Unmarried,Within district,Dammam,HR,Permanent,PartTime,Active,L2,Secretary,4,Remote,Travels often,19.075,3.081,16.895,260.805,0.0,0.059,0.0,22.074,2.903,23.408
Male,Saudi,40,High School,Communication,Married,Within district,Dammam,HR,Zero Hours,FullTime,Active,L1,Analyst,3,On Site,Travels rarely,39.318,10.481,9.719,409.658,0.0,0.2,0.0,8.604,3.234,27.367
Male,Saudi,43,High School,Communication,Married,Within district,Alhasa,HR,Internship,FullTime,Active,L1,Sales,3,On Site,Travels rarely,39.877,5.667,12.341,435.392,0.095,0.0,1720.579,24.197,3.449,14.706
Female,Saudi,46,High School,Humanities,Unmarried,Within district,Jubail,HR,Permanent,FullTime,Active,L1,Sales,3,On Site,Travels rarely,39.136,7.342,11.491,422.121,0.145,0.0,3638.139,9.315,2.952,13.042
Male,Expat_Arab,33,Bachelors,Humanities,Married,Within district,Dammam,Customer Support,Internship,FullTime,Active,L1,Secretary,4,Hybrid,Travels rarely,40.534,0.073,12.243,502.829,0.0,0.136,0.0,7.559,3.412,19.281
Male,Saudi,21,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,2,Hybrid,Travels often,37.754,4.718,10.324,420.077,0.0,0.0,0.0,8.247,3.775,17.147
Male,Saudi,18,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Analyst,3,Hybrid,Travels rarely,39.504,6.396,18.16,681.874,0.013,0.156,823.345,21.765,4.044,21.888
Male,Expat_Arab,61,High School,Business,Married,Other district,Khobar,HR,Fixed Term,FullTime,Active,L1,Manager,4,Hybrid,Travels rarely,40.611,4.69,13.242,413.786,0.145,0.103,2466.591,5.269,4.478,14.483
Male,Saudi,40,Masters,Humanities,Unmarried,Within district,Dammam,Sales,Permanent,FullTime,Active,L1,Designer,4,Remote,Travels rarely,40.619,0.578,12.938,553.923,0.059,0.0,1043.805,19.934,4.958,15.927
Male,Saudi,42,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,41.966,2.526,12.222,356.521,0.4,0.2,8472.755,18.283,1.854,27.237
Female,Saudi,28,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L3,Media,3,On Site,Travels rarely,40.665,9.528,18.336,1420.626,0.061,0.092,15475.499,12.2,2.465,16.332
Male,Saudi,26,High School,Communication,Married,Within district,Dammam,HR,Zero Hours,FullTime,Active,L2,Sales,4,On Site,Travels rarely,39.434,2.959,12.905,444.494,0.0,0.0,0.0,9.82,2.213,25.347
Male,Expat_Arab,24,High School,Humanities,Unmarried,Within district,Khobar,HR,Zero Hours,PartTime,Active,L1,Secretary,4,On Site,Travels rarely,20.948,4.579,13.494,239.498,0.4,0.063,2850.076,24.613,3.366,12.334
Male,Saudi,46,High School,Communication,Unmarried,Within district,Jubail,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,39.459,0.0,10.82,322.01,0.0,0.0,0.0,6.135,5.0,24.198
Female,Expat_Arab,56,Bachelors,Social Science,Unmarried,Within district,Khobar,Finance,Fixed Term,PartTime,Active,L1,Manager,4,On Site,Travels rarely,18.283,0.9,15.171,287.529,0.257,0.0,3764.788,18.874,3.301,17.169
Male,Saudi,36,High School,Humanities,Married,Within district,Dammam,HR,Internship,PartTime,Active,L1,Manager,3,On Site,Travels rarely,13.679,0.234,10.223,132.435,0.097,0.0,680.428,24.579,2.965,19.401
