RESOURCE,MANAGER,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
80723,23224,117961,118225,120535,120647,311441,118398,120649,1
15672,4519,117961,118300,118783,117905,117906,290919,117908,1
45610,21556,118006,118007,117941,117899,117897,19721,117900,0
4675,51119,117961,118343,122012,117905,117906,290919,117908,1
37951,55751,118602,118603,117941,117885,117913,117887,117888,1
23815,16314,117961,118446,120317,118321,117906,290919,118322,1
20351,8686,117961,118327,119830,118054,118054,117887,118055,1
278393,22853,117961,118386,118896,119849,182753,118638,119851,1
42093,4145,117961,118300,120026,307024,303717,118331,118332,1
55554,1448,117902,117903,120722,117905,117906,290919,117908,1
25442,98025,5110,117954,117895,117899,117897,19721,117900,1
73815,64709,118315,118316,120764,123651,251247,118467,123652,1
41950,1614,117961,118327,120171,118747,130134,118453,118749,1
43629,22853,117961,118386,118896,118636,126747,118638,118639,1
73931,17550,117961,118446,118684,118321,117906,290919,118322,1
81350,2260,117961,118343,119598,119433,133686,118424,119435,1
25993,25293,117961,118386,123072,128764,130802,118612,128765,1
41594,117445,119062,119091,118535,117905,117906,290919,117908,1
25993,7426,117961,118225,119238,122849,120324,119095,122850,1
29262,59347,117961,118327,118320,118784,147114,290919,118786,1
78556,2149,118550,118551,120559,118054,118443,117887,118055,1
7678,3053,117961,118225,120663,118641,306399,118643,118644,1
31652,15459,118169,118170,135245,259173,143905,292795,118943,1
44861,22854,117902,118041,131461,119778,174194,19721,119779,0
21052,50997,117961,118052,120539,118321,117906,290919,118322,1
16472,19986,117961,118225,125139,120773,118959,118960,120774,0
6977,14638,117961,118052,118821,117905,117906,290919,117908,1
40338,1411,117902,117903,118437,118958,118959,118960,118961,1
76878,42230,117961,118327,118744,118321,117906,290919,118322,1
43020,17614,117902,118041,118042,118043,118044,270488,118046,0
80151,6227,117961,118343,118437,118784,117906,290919,118786,1
52683,70479,118953,118954,117941,117879,117886,19721,117880,0
31219,44053,117961,117962,117904,119949,123170,290919,119951,1
25993,50690,118269,118270,117878,117879,117879,19721,117880,1
80746,8697,117961,118446,119064,118321,117906,290919,118322,1
25287,2612,117961,118327,123901,118321,117906,290919,118322,1
81458,15009,117902,117903,118783,117905,118036,290919,117908,1
26410,46459,117943,117944,117945,259173,126800,292795,118943,1
81432,7411,117961,118386,118746,118747,152307,118453,118749,1
13878,77950,117916,118150,117941,118568,281735,19721,118570,1
79299,55638,119280,119281,118623,118995,136748,292795,118997,1
5353,2305,117961,117962,119223,128230,302830,4673,128231,0
19752,18213,117961,118386,118746,118747,160002,118453,118749,1
22430,4105,117961,118225,118616,118054,118054,117887,118055,1
79092,1409,117961,118300,120722,118958,118959,118960,118961,1
36646,27873,117978,117979,117884,117879,117886,19721,117880,0
81478,5504,117961,118300,118514,117905,117906,290919,117908,1
4675,5490,117961,117962,5488,120618,304465,118643,120619,1
79092,15683,117961,118300,118957,118777,279443,308574,118779,1
32270,16972,117961,118343,119987,118523,310608,118331,118525,1
34056,13854,117961,118052,118979,307024,306404,118331,118332,1
6690,4549,117961,118225,120050,118321,117906,290919,118322,1
15913,5899,117961,118327,120318,118641,120319,118643,118644,1
81350,57714,118595,118596,118447,307024,311622,118331,118332,1
15798,17835,117961,118225,118403,118451,141500,118453,118454,1
32642,46663,118256,118257,118623,118995,286106,292795,118997,1
23187,85475,117961,118300,123472,117905,117906,290919,117908,1
42085,17058,117961,118300,119488,118728,301534,118295,118730,1
75245,14368,117876,117877,117878,117879,153679,19721,117880,1
18072,7684,118573,118574,118623,126684,127423,292795,126685,1
32292,2174,118256,118257,118450,121372,268307,119184,121374,1
7678,13441,117961,118225,122870,118207,279443,270488,118209,1
25993,20382,117961,118300,124942,118777,279443,308574,118779,1
74478,23097,117961,118225,129617,118702,132654,118704,118705,1
39333,5423,117961,118327,118391,118321,117906,290919,118322,0
917,17128,117961,118300,119984,118396,233714,118398,118399,1
22275,50997,117961,118052,120539,117905,117906,290919,117908,1
35498,18040,117961,118300,118783,118784,240983,290919,118786,1
43323,7651,117961,118386,118746,118321,117906,290919,118322,1
34346,33266,216705,119256,129526,119849,160290,118638,119851,1
27188,121925,117961,118327,118933,118321,240983,290919,118322,1
278393,4931,118290,118291,119488,118293,119489,118295,118296,1
25643,23200,117961,118343,123125,118685,120316,308574,118687,1
29304,62541,117980,118076,118246,179731,147003,117887,117973,1
79168,13881,118602,118603,117941,117885,118097,117887,117888,1
43305,84891,120342,120343,121014,118777,279443,308574,118779,1
34012,866,117961,118413,120526,118259,132668,290919,118261,1
33248,49521,117961,118300,123055,120006,150350,118424,120008,1
37552,1755,117961,117962,119223,125793,137422,118643,125795,1
75305,4084,117961,118052,118992,118321,240983,290919,118322,0
45790,1215,117961,118327,120171,118863,126488,118398,118865,1
75327,17414,118752,119070,118042,118043,151099,270488,118046,1
103120,1447,117961,118343,120722,120690,120690,290919,120692,1
40621,8435,117961,118225,124449,122129,150283,121916,122131,1
30999,852,117961,117962,122215,120773,118959,118960,120774,1
43276,7285,117961,118225,118403,119849,310589,118638,119851,1
23965,4837,117961,118300,120026,118054,119601,117887,118055,1
79948,2270,117961,118413,277693,120773,155692,118960,120774,1
27159,2991,117961,118343,118700,118784,117906,290919,118786,1
43017,53396,117916,118150,117920,118568,142278,19721,118570,1
42093,49425,117961,118343,119598,118422,300136,118424,118425,1
19712,32795,118256,118257,118623,118995,286106,292795,118997,0
78320,78118,118003,118004,117878,117899,121756,19721,117900,1
42085,17578,117961,117962,120677,120812,126079,118638,120814,1
78165,17988,117961,117969,118816,120647,129715,118398,120649,1
1020,85343,117961,118327,118933,117905,117906,290919,117908,1
42085,13196,117951,117952,117941,117879,117879,19721,117880,1
