,age,region,employment_type,hours_worked,weekly_earnings,tenure_years
68,44,Dammam,FullTime,40.174,1741.307,20.618
69,48,Alhasa,FullTime,39.601,846.272,17.174
70,51,Khobar,FullTime,38.599,729.198,19.416
71,65,Dammam,FullTime,38.749,1373.41,7.439
72,21,Dammam,PartTime,13.071,250.957,17.386
73,47,Buqaiq,PartTime,22.071,446.695,16.781
74,38,Dammam,PartTime,18.851,803.74,7.981
75,48,Dammam,FullTime,40.019,686.51,22.429
76,43,Alhasa,FullTime,39.586,574.351,14.197
77,51,Dammam,FullTime,39.19,781.958,5.79
78,42,Riyadh,PartTime,40.08,496.282,6.018
79,18,Alhasa,PartTime,20.076,593.741,8.198
80,34,Dammam,FullTime,40.91,1308.488,14.718
81,36,Dammam,PartTime,22.733,288.987,9.307
82,52,Alhasa,PartTime,21.189,780.655,15.613
83,37,Dammam,PartTime,16.56,279.095,12.179
84,29,Dammam,FullTime,38.986,891.287,11.148
85,34,Dammam,PartTime,19.074,799.993,17.246
86,50,Dammam,PartTime,16.188,447.89,15.362
87,42,Dammam,PartTime,17.634,229.514,9.449
88,57,Alhasa,PartTime,18.615,398.441,10.72
89,39,Dammam,FullTime,39.779,634.407,9.077
90,51,Buqaiq,FullTime,40.135,1034.159,12.255
91,38,Khobar,FullTime,40.204,787.993,20.708
92,56,Jubail,PartTime,16.281,330.359,6.627
93,39,Khobar,FullTime,38.63,692.369,12.7
94,59,Dammam,FullTime,41.496,1546.602,14.32
95,65,Jeddah,FullTime,41.627,577.87,6.848
96,41,Khobar,PartTime,15.874,612.691,20.592
97,39,Khobar,FullTime,38.774,959.392,10.46
98,30,Dammam,FullTime,39.377,956.891,17.589
99,44,Dammam,PartTime,18.318,384.492,10.914
100,50,Dammam,FullTime,40.306,786.985,7.615
101,40,Dammam,FullTime,40.946,792.092,4.406
102,57,Riyadh,PartTime,39.692,406.217,10.636
103,45,Riyadh,PartTime,14.819,326.429,20.222
104,49,Dammam,PartTime,13.954,450.867,10.473
105,54,Dammam,FullTime,40.959,788.634,9.825
106,53,Jubail,FullTime,16.303,486.34,9.614
107,50,Dammam,FullTime,41.07,1534.591,8.697
108,48,Dammam,FullTime,40.965,459.106,8.864
109,39,Buqaiq,PartTime,16.538,499.1,10.542
110,41,Jubail,FullTime,17.697,446.842,9.678
111,55,Dammam,FullTime,40.16,714.286,16.21
112,52,Dammam,FullTime,40.448,770.814,8.515
113,45,Dammam,PartTime,13.505,241.328,15.606
114,34,Dammam,FullTime,39.375,643.414,6.684
115,41,Dammam,FullTime,39.277,740.781,5.6
116,31,Dammam,FullTime,39.064,619.951,21.555
117,46,Alhasa,PartTime,22.821,557.69,15.767
118,41,Buqaiq,FullTime,40.327,745.959,4.646
119,35,Dammam,FullTime,41.316,557.438,13.21
120,41,Dammam,PartTime,18.072,810.47,11.019
121,27,Jubail,FullTime,41.015,935.914,5.596
122,57,Alhasa,FullTime,39.76,891.936,5.858
123,32,Jubail,FullTime,39.784,1192.08,10.241
124,27,Dammam,FullTime,40.582,884.065,11.353
125,63,Buqaiq,FullTime,15.024,697.323,32.934
126,48,Dammam,FullTime,39.212,369.053,5.042
127,59,Dammam,FullTime,39.871,721.222,9.739
128,18,Dammam,FullTime,38.878,972.821,15.009
129,55,Riyadh,PartTime,17.811,903.643,13.008
130,62,Dammam,PartTime,15.659,479.979,7.976
131,44,Jeddah,PartTime,20.669,409.687,11.789
132,26,Dammam,FullTime,39.521,653.426,8.606
133,53,Dammam,FullTime,40.949,1303.511,12.402
134,41,Alhasa,FullTime,40.655,511.762,20.737
135,40,Buqaiq,FullTime,39.925,737.831,11.223
136,34,Riyadh,FullTime,37.605,907.82,7.305
137,32,Khobar,FullTime,39.806,764.289,17.128
138,43,Dammam,PartTime,14.912,258.735,9.357
139,40,Dammam,FullTime,39.438,1507.254,12.757
140,45,Khobar,FullTime,41.335,940.511,14.633
141,49,Dammam,FullTime,40.73,741.515,11.529
142,61,Dammam,PartTime,20.176,408.035,6.921
143,41,Buqaiq,PartTime,21.217,404.868,13.871
144,23,Dammam,FullTime,16.676,222.278,9.95
145,48,Alhasa,PartTime,18.333,484.148,7.032
146,36,Dammam,FullTime,41.026,888.799,17.812
147,30,Buqaiq,FullTime,41.624,732.85,18.406
148,27,Buqaiq,PartTime,14.278,1243.216,10.02
149,44,Dammam,PartTime,42.541,942.494,14.008
150,54,Dammam,FullTime,40.422,823.277,8.73
151,39,Dammam,FullTime,38.715,826.082,4.232
152,47,Dammam,FullTime,39.732,1012.65,16.678
153,54,Dammam,PartTime,20.272,532.602,11.735
154,52,Dammam,FullTime,40.552,1158.98,6.26
155,23,Dammam,FullTime,40.54,855.812,5.739
156,41,Khobar,PartTime,20.678,393.89,8.87
157,65,Dammam,FullTime,40.149,787.119,8.351
158,32,Dammam,FullTime,39.664,1131.856,17.471
159,52,Jubail,FullTime,40.221,1005.143,7.908
160,46,Dammam,FullTime,39.48,836.652,14.166
161,38,Dammam,PartTime,39.511,533.856,8.088
162,56,Alhasa,FullTime,39.963,507.333,7.603
163,59,Alhasa,PartTime,26.809,966.486,19.529
164,54,Dammam,FullTime,40.577,399.647,18.502
165,47,Alhasa,FullTime,21.826,517.016,15.497
166,28,Dammam,PartTime,15.934,620.354,9.249
167,51,Jeddah,FullTime,39.747,1985.334,7.046
168,19,Dammam,FullTime,39.628,1043.196,8.764
169,44,Alhasa,FullTime,17.553,616.252,7.982
170,18,Jubail,FullTime,25.216,354.676,27.344
171,21,Alhasa,PartTime,40.934,381.954,22.396
172,28,Khobar,FullTime,39.187,459.821,6.249
173,28,Dammam,PartTime,19.726,447.717,15.049
174,33,Dammam,FullTime,18.416,727.138,9.796
175,45,Dammam,PartTime,14.137,536.959,9.974
176,53,Dammam,FullTime,40.355,743.833,17.225
177,58,Alhasa,PartTime,23.271,435.06,5.545
178,27,Dammam,FullTime,37.769,1118.668,4.549
179,20,Dammam,FullTime,39.421,711.339,7.794
180,33,Jeddah,PartTime,23.68,346.567,8.85
181,41,Dammam,PartTime,20.517,393.175,8.899
182,36,Dammam,PartTime,16.418,292.328,18.844
183,19,Dammam,PartTime,11.998,250.101,11.44
184,35,Dammam,FullTime,38.197,865.897,21.663
185,30,Dammam,FullTime,41.187,910.099,7.101
186,50,Alhasa,FullTime,22.719,674.036,12.999
187,50,Khobar,FullTime,40.403,1014.228,20.935
188,21,Buqaiq,PartTime,15.742,317.394,22.823
189,29,Jeddah,PartTime,16.066,394.395,4.957
190,20,Dammam,FullTime,40.073,801.289,9.108
191,25,Alhasa,PartTime,19.384,340.363,19.685
192,44,Dammam,FullTime,40.352,699.633,7.415
193,52,Khobar,FullTime,40.941,1085.24,18.492
194,53,Dammam,PartTime,15.967,377.951,9.004
195,21,Alhasa,FullTime,40.844,408.304,19.314
196,38,Khobar,PartTime,18.974,681.331,18.547
197,41,Buqaiq,PartTime,39.633,656.62,9.593
198,41,Dammam,FullTime,38.629,1008.641,3.844
199,21,Jubail,PartTime,18.263,674.387,1.755
200,37,Buqaiq,FullTime,24.974,506.986,14.989
201,22,Dammam,FullTime,40.068,669.055,26.289
202,55,Khobar,FullTime,38.215,642.45,3.952
203,44,Dammam,PartTime,15.808,390.216,16.095
204,24,Dammam,FullTime,38.445,685.864,14.21
205,56,Dammam,PartTime,16.761,368.858,12.353
206,61,Dammam,FullTime,40.409,1167.882,8.232
207,38,Alhasa,FullTime,39.291,689.954,11.89
208,23,Dammam,FullTime,38.907,893.516,18.999
209,23,Dammam,FullTime,40.589,914.353,16.806
210,28,Khobar,FullTime,39.865,867.103,5.663
211,19,Dammam,PartTime,19.593,465.935,11.008
212,42,Jubail,PartTime,18.107,254.905,7.255
213,45,Buqaiq,PartTime,15.454,257.45,20.759
214,38,Dammam,FullTime,39.107,1610.963,16.38
215,58,Dammam,FullTime,39.866,906.757,14.773
216,41,Jubail,FullTime,38.571,793.274,6.798
217,45,Riyadh,PartTime,15.975,1204.281,17.006
218,46,Dammam,FullTime,40.995,928.287,13.482
219,58,Dammam,PartTime,23.09,542.271,16.747
220,63,Khobar,FullTime,38.476,862.414,5.499
221,21,Alhasa,PartTime,40.224,753.149,6.806
222,43,Alhasa,PartTime,18.388,662.492,17.834
223,46,Dammam,FullTime,40.132,1406.539,19.194
224,33,Dammam,FullTime,39.437,576.82,7.71
225,52,Dammam,FullTime,40.483,848.131,14.178
226,51,Riyadh,PartTime,20.594,540.011,13.992
227,53,Dammam,FullTime,39.663,955.031,4.691
228,52,Dammam,PartTime,14.365,380.067,18.881
229,32,Dammam,PartTime,18.579,489.074,14.703
230,38,Buqaiq,FullTime,39.99,420.313,4.908
231,37,Dammam,FullTime,39.474,785.928,6.772
232,61,Dammam,FullTime,38.163,1101.749,3.714
233,34,Buqaiq,PartTime,14.881,377.819,22.346
234,68,Dammam,FullTime,38.814,706.852,8.885
235,39,Dammam,FullTime,40.216,1001.674,11.883
236,46,Dammam,FullTime,39.228,892.823,15.505
237,59,Jeddah,PartTime,18.369,414.164,4.857
238,20,Riyadh,PartTime,16.88,332.485,7.056
239,44,Alhasa,PartTime,22.063,435.298,4.365
240,46,Khobar,FullTime,16.513,634.865,10.074
241,64,Dammam,PartTime,13.712,254.481,17.324
242,37,Dammam,PartTime,15.904,454.17,14.568
243,29,Jubail,FullTime,39.722,1086.837,2.664
244,46,Dammam,FullTime,40.719,1024.507,19.562
245,25,Dammam,FullTime,39.198,999.282,10.563
246,32,Jubail,PartTime,16.556,670.213,13.932
247,38,Jubail,PartTime,20.674,380.065,11.673
248,32,Alhasa,FullTime,39.309,971.236,8.264
249,40,Dammam,FullTime,38.979,1279.55,6.491
250,18,Dammam,FullTime,39.272,941.939,10.113
251,50,Jeddah,FullTime,38.876,1459.285,6.441
252,39,Dammam,FullTime,40.94,1235.317,18.77
253,32,Dammam,FullTime,41.32,1156.689,12.201
254,54,Jeddah,PartTime,24.908,546.644,16.12
255,61,Dammam,FullTime,40.095,626.689,5.872
256,47,Dammam,FullTime,38.715,1150.18,9.103
257,57,Dammam,FullTime,40.716,733.708,17.821
258,52,Dammam,FullTime,20.319,1014.61,17.973
259,44,Dammam,PartTime,15.87,242.171,13.026
260,19,Dammam,FullTime,40.381,958.551,10.786
261,39,Dammam,FullTime,17.63,926.337,16.15
262,41,Dammam,PartTime,16.11,413.048,18.184
263,47,Riyadh,FullTime,38.958,1065.647,10.18
264,46,Buqaiq,FullTime,21.99,551.251,11.323
265,38,Dammam,FullTime,41.648,747.784,10.175
266,60,Khobar,FullTime,38.933,1203.517,13.523
267,48,Buqaiq,PartTime,18.529,325.125,18.416
268,62,Khobar,PartTime,14.647,633.902,24.443
269,62,Dammam,FullTime,39.363,754.16,14.985
270,46,Dammam,FullTime,39.164,767.221,14.569
271,56,Dammam,PartTime,20.959,456.08,13.418
272,55,Riyadh,FullTime,21.793,673.464,10.259
273,45,Dammam,PartTime,39.777,1162.407,12.543
274,53,Alhasa,PartTime,17.642,538.628,16.423
275,45,Dammam,FullTime,39.233,670.949,10.068
276,57,Dammam,PartTime,16.382,366.586,17.659
277,47,Khobar,FullTime,38.977,589.705,18.648
278,30,Buqaiq,PartTime,39.434,607.383,8.249
279,30,Dammam,FullTime,38.818,1017.796,6.103
280,43,Buqaiq,PartTime,23.221,668.915,15.91
281,64,Riyadh,PartTime,14.679,425.516,18.213
282,43,Khobar,FullTime,14.72,991.728,7.982
283,39,Dammam,FullTime,38.165,1078.014,23.48
284,52,Dammam,PartTime,14.941,331.694,20.126
285,51,Dammam,FullTime,38.616,713.103,11.51
286,38,Buqaiq,PartTime,20.309,217.937,17.94
287,46,Khobar,FullTime,38.04,1060.189,19.42
288,64,Alhasa,FullTime,39.752,418.244,17.582
289,55,Dammam,PartTime,16.741,294.456,7.159
290,25,Dammam,FullTime,39.971,1241.043,14.529
291,23,Khobar,FullTime,37.919,894.981,14.595
292,40,Khobar,FullTime,17.535,860.362,2.346
293,54,Buqaiq,FullTime,38.746,865.639,9.61
294,52,Khobar,FullTime,39.326,1025.254,8.3
295,59,Dammam,FullTime,40.475,634.63,17.198
296,61,Dammam,FullTime,39.546,651.774,4.99
297,23,Jubail,FullTime,39.349,1013.93,13.863
298,31,Dammam,FullTime,38.3,864.645,11.35
299,23,Dammam,FullTime,22.514,607.35,27.168
300,25,Dammam,PartTime,14.165,268.579,15.12
301,20,Buqaiq,PartTime,15.408,428.231,30.906
302,32,Khobar,FullTime,39.767,647.974,9.738
303,41,Dammam,PartTime,20.925,390.768,16.502
304,18,Dammam,FullTime,38.676,986.301,3.53
305,70,Alhasa,PartTime,20.041,467.779,7.657
306,40,Riyadh,PartTime,17.324,227.139,14.96
307,18,Alhasa,PartTime,41.252,547.296,18.469
308,20,Dammam,FullTime,40.073,565.966,7.243
309,44,Jubail,FullTime,39.436,949.617,4.723
310,68,Dammam,PartTime,21.904,327.742,4.934
311,39,Buqaiq,PartTime,18.367,280.808,12.283
312,18,Dammam,FullTime,41.152,772.181,8.774
313,36,Dammam,FullTime,37.928,874.664,6.049
314,54,Buqaiq,PartTime,25.335,399.703,7.226
315,33,Jeddah,FullTime,39.368,669.068,20.437
316,48,Buqaiq,PartTime,16.314,1149.026,5.148
317,53,Alhasa,PartTime,20.786,358.751,10.922
318,31,Khobar,FullTime,17.077,497.174,12.725
319,47,Dammam,FullTime,39.397,485.465,11.203
320,36,Dammam,FullTime,39.379,891.892,12.706
321,46,Jubail,FullTime,39.095,898.059,16.997
322,41,Dammam,PartTime,18.277,589.494,16.681
323,55,Dammam,PartTime,13.905,558.502,7.749
324,46,Jeddah,PartTime,24.296,520.654,15.664
325,47,Riyadh,PartTime,17.631,1073.21,11.217
326,44,Dammam,FullTime,38.911,841.21,3.297
327,62,Khobar,FullTime,18.005,502.42,17.005
328,36,Jubail,PartTime,21.209,753.426,16.862
329,18,Dammam,FullTime,40.222,719.443,10.877
330,22,Dammam,FullTime,38.829,695.674,15.555
331,56,Dammam,FullTime,39.663,897.446,17.529
332,55,Dammam,PartTime,15.968,313.78,16.824
333,54,Dammam,FullTime,39.625,978.003,8.31
334,61,Khobar,FullTime,40.023,578.464,3.263
335,60,Dammam,FullTime,41.025,1077.569,10.044
336,61,Dammam,PartTime,17.88,465.066,16.653
337,54,Alhasa,PartTime,38.717,282.295,9.995
338,44,Riyadh,FullTime,40.337,793.28,8.917
339,57,Riyadh,FullTime,40.417,611.522,11.514
340,19,Jeddah,FullTime,38.973,689.817,7.8
341,22,Dammam,FullTime,40.013,318.162,6.997
342,43,Dammam,FullTime,39.266,911.696,12.274
343,53,Riyadh,FullTime,38.285,255.844,12.863
344,22,Dammam,FullTime,39.385,761.886,18.719
345,45,Riyadh,FullTime,39.477,1052.661,4.718
346,39,Jeddah,FullTime,41.989,1241.606,13.862
347,25,Khobar,FullTime,38.634,909.109,10.743
348,27,Jubail,PartTime,19.114,847.45,9.15
349,49,Dammam,FullTime,26.667,313.368,35.319
350,50,Dammam,PartTime,16.745,367.006,19.443
351,33,Jeddah,FullTime,39.871,775.587,6.489
352,54,Dammam,PartTime,38.917,382.6,24.402
353,46,Dammam,PartTime,19.117,675.81,19.711
354,18,Riyadh,PartTime,16.843,855.425,12.005
355,52,Dammam,PartTime,13.323,291.128,17.42
356,51,Khobar,FullTime,40.049,669.624,10.019
357,66,Dammam,PartTime,20.429,446.199,9.231
358,39,Khobar,FullTime,39.281,950.917,19.623
359,60,Dammam,FullTime,40.583,585.516,16.317
360,54,Dammam,PartTime,12.139,383.679,12.531
361,47,Dammam,PartTime,16.994,345.949,5.006
362,31,Alhasa,FullTime,39.642,825.845,16.534
363,61,Dammam,PartTime,14.125,362.557,18.677
364,44,Dammam,FullTime,39.773,1292.01,9.455
365,50,Buqaiq,PartTime,16.448,491.556,11.74
366,46,Jubail,PartTime,40.99,731.506,18.932
367,58,Dammam,FullTime,39.629,1055.516,5.78
368,59,Dammam,PartTime,17.685,334.33,10.829
369,50,Dammam,FullTime,40.513,583.157,7.899
370,40,Dammam,PartTime,15.833,309.861,6.704
371,46,Riyadh,PartTime,17.54,737.114,13.451
372,34,Jubail,FullTime,22.809,675.263,9.551
373,46,Jubail,FullTime,39.491,480.838,6.268
374,58,Jeddah,PartTime,21.841,460.268,22.269
375,62,Dammam,PartTime,14.898,265.912,18.568
376,19,Khobar,PartTime,13.27,405.968,7.559
377,47,Jeddah,PartTime,40.054,839.769,17.59
378,62,Dammam,PartTime,17.969,364.432,14.768
379,49,Dammam,PartTime,17.676,372.324,8.234
380,41,Dammam,PartTime,19.186,420.754,9.561
381,41,Jeddah,FullTime,20.484,443.885,11.468
382,36,Dammam,FullTime,39.671,567.189,14.987
383,40,Dammam,FullTime,39.608,819.036,16.941
384,19,Dammam,FullTime,39.628,770.42,18.887
385,51,Alhasa,PartTime,39.828,737.702,16.202
386,37,Jubail,FullTime,39.109,709.042,15.373
387,62,Khobar,PartTime,22.305,185.235,24.217
388,62,Jeddah,FullTime,42.228,1068.743,6.713
389,43,Dammam,FullTime,40.264,961.75,11.033
390,66,Dammam,FullTime,39.236,744.68,2.16
391,41,Dammam,PartTime,21.617,288.61,23.744
392,61,Dammam,FullTime,40.072,1432.904,17.814
393,51,Alhasa,PartTime,14.863,566.401,17.006
394,45,Jeddah,FullTime,40.498,507.689,17.331
395,51,Khobar,FullTime,14.515,987.671,5.112
396,53,Dammam,PartTime,16.696,366.949,12.755
397,23,Buqaiq,PartTime,17.602,235.818,6.713
398,28,Alhasa,PartTime,39.909,520.136,6.919
399,25,Dammam,FullTime,39.732,1280.668,9.361
400,52,Buqaiq,PartTime,22.825,313.81,8.717
401,46,Khobar,PartTime,21.382,345.874,10.037
402,57,Dammam,FullTime,38.403,734.6,10.336
403,40,Dammam,FullTime,38.873,901.543,10.633
404,53,Dammam,PartTime,15.519,300.724,5.492
405,46,Dammam,FullTime,39.826,715.958,4.952
406,42,Dammam,PartTime,13.369,371.357,16.67
407,23,Dammam,FullTime,39.097,710.868,18.228
408,44,Dammam,FullTime,38.841,669.864,8.249
409,19,Dammam,FullTime,39.994,663.341,12.733
410,62,Dammam,FullTime,38.179,717.823,22.104
411,58,Alhasa,PartTime,17.214,262.443,11.263
412,58,Dammam,FullTime,39.495,910.78,13.954
413,44,Dammam,FullTime,40.074,923.057,4.711
414,58,Dammam,PartTime,13.268,343.274,10.977
415,24,Alhasa,FullTime,39.93,481.805,10.189
416,18,Dammam,PartTime,19.041,314.886,8.849
417,65,Dammam,FullTime,39.525,1023.631,19.157
418,47,Jubail,FullTime,39.339,480.179,6.267
419,28,Riyadh,PartTime,14.816,635.11,9.304
420,51,Riyadh,PartTime,24.697,233.078,17.101
421,57,Riyadh,PartTime,21.78,759.152,9.395
422,42,Buqaiq,PartTime,21.719,296.193,4.773
423,43,Dammam,FullTime,41.03,995.409,19.837
424,55,Dammam,PartTime,17.593,337.208,8.434
425,27,Dammam,PartTime,15.353,339.133,13.2
426,52,Riyadh,PartTime,40.05,465.566,11.925
427,47,Khobar,FullTime,40.742,768.617,8.333
428,67,Dammam,FullTime,41.511,611.552,22.795
429,46,Dammam,FullTime,38.94,996.318,3.707
430,64,Khobar,FullTime,39.64,575.396,16.001
431,38,Dammam,FullTime,40.151,1213.014,14.854
432,20,Dammam,FullTime,38.395,727.603,11.173
433,52,Riyadh,PartTime,15.637,163.679,15.574
434,65,Dammam,FullTime,40.964,1000.433,9.401
435,22,Jubail,FullTime,39.121,722.128,12.429
436,44,Buqaiq,FullTime,40.392,698.997,8.263
437,33,Dammam,FullTime,38.893,748.899,15.05
438,47,Jubail,PartTime,40.374,681.892,11.651
439,19,Buqaiq,PartTime,19.873,465.309,20.217
440,35,Buqaiq,PartTime,18.62,215.888,22.648
441,28,Dammam,FullTime,39.419,569.643,14.396
442,38,Dammam,FullTime,39.765,1185.24,6.386
443,41,Dammam,FullTime,39.974,719.877,13.832
444,54,Dammam,FullTime,40.177,803.253,12.666
445,43,Riyadh,FullTime,39.348,634.366,12.814
446,31,Jubail,PartTime,17.981,723.298,4.237
447,59,Dammam,PartTime,13.483,459.306,5.067
448,23,Riyadh,FullTime,38.895,532.581,15.132
449,43,Khobar,FullTime,41.11,569.452,14.803
450,62,Dammam,PartTime,19.207,644.969,17.5
451,57,Buqaiq,PartTime,17.457,776.985,3.314
452,31,Dammam,FullTime,39.769,404.558,22.175
453,28,Jubail,FullTime,38.6,970.895,5.481
454,23,Buqaiq,PartTime,17.832,466.523,7.525
455,45,Dammam,FullTime,40.559,887.812,4.366
456,39,Dammam,FullTime,39.871,416.725,22.18
457,36,Dammam,PartTime,17.656,354.565,18.861
458,56,Dammam,FullTime,37.83,1407.122,13.568
459,48,Jubail,FullTime,14.109,564.021,14.591
460,43,Khobar,FullTime,39.385,1545.93,14.876
461,39,Dammam,PartTime,19.237,208.783,21.454
462,52,Khobar,FullTime,41.658,886.994,8.67
463,33,Dammam,PartTime,20.367,1007.492,7.027
464,42,Buqaiq,PartTime,17.714,703.243,13.699
465,52,Dammam,FullTime,40.255,957.509,14.697
466,40,Jeddah,FullTime,42.295,497.455,13.614
467,64,Khobar,FullTime,39.946,792.942,4.224
468,58,Jubail,PartTime,19.885,502.83,6.162
469,65,Riyadh,FullTime,39.904,866.564,6.947
470,59,Dammam,PartTime,20.937,428.426,12.686
471,50,Alhasa,PartTime,18.361,301.324,15.646
472,65,Alhasa,PartTime,22.095,416.36,13.472
473,55,Dammam,FullTime,40.705,407.072,6.973
474,33,Dammam,FullTime,39.741,1126.227,5.174
475,37,Dammam,PartTime,23.071,264.905,13.162
476,46,Khobar,FullTime,38.833,741.879,4.907
477,39,Dammam,PartTime,14.764,193.575,6.391
478,37,Riyadh,FullTime,19.065,539.761,6.748
479,42,Jeddah,FullTime,39.834,588.53,8.531
480,33,Buqaiq,PartTime,20.634,617.209,13.216
481,35,Jubail,FullTime,37.741,1121.231,5.759
482,44,Dammam,FullTime,40.681,671.765,18.002
483,51,Khobar,FullTime,41.011,702.441,10.895
484,21,Dammam,FullTime,38.818,1539.601,7.759
485,40,Dammam,FullTime,38.926,670.432,12.315
486,44,Dammam,PartTime,19.883,260.265,10.487
487,27,Buqaiq,FullTime,38.206,814.638,14.199
488,48,Jeddah,PartTime,39.374,293.385,14.84
489,37,Buqaiq,FullTime,42.812,644.415,9.226
490,48,Dammam,PartTime,38.724,868.337,12.148
491,52,Dammam,FullTime,39.554,881.056,4.483
492,33,Khobar,FullTime,41.439,828.168,4.525
493,51,Jeddah,PartTime,42.786,689.711,18.742
494,38,Dammam,FullTime,39.473,637.501,26.785
495,50,Dammam,FullTime,42.4,533.077,17.657
496,25,Dammam,FullTime,38.315,911.759,5.447
497,20,Jubail,FullTime,17.045,627.792,8.38
498,40,Dammam,FullTime,39.444,993.724,15.959
499,42,Dammam,FullTime,40.126,1187.845,3.93
500,46,Dammam,FullTime,40.398,869.446,14.133
501,49,Dammam,FullTime,38.183,708.838,4.584
502,53,Alhasa,PartTime,17.547,413.901,12.646
503,36,Dammam,FullTime,39.656,991.129,11.866
504,48,Dammam,FullTime,39.17,825.987,12.686
505,30,Jeddah,FullTime,39.744,795.069,8.991
506,22,Riyadh,FullTime,38.209,763.25,11.18
507,42,Dammam,FullTime,16.135,345.725,17.271
508,32,Riyadh,PartTime,41.077,463.861,8.502
509,57,Dammam,PartTime,21.923,763.126,15.105
510,55,Dammam,PartTime,14.549,340.108,22.514
511,39,Buqaiq,FullTime,40.365,909.097,31.532
512,26,Dammam,PartTime,20.207,344.152,5.214
513,56,Dammam,FullTime,22.347,397.873,24.895
514,22,Khobar,FullTime,39.005,743.327,3.683
515,31,Dammam,FullTime,41.28,564.666,7.548
516,20,Dammam,FullTime,39.259,987.253,12.308
517,32,Dammam,PartTime,17.949,673.642,7.208
518,43,Dammam,FullTime,40.783,529.708,9.078
519,53,Dammam,FullTime,40.617,873.962,7.206
520,50,Dammam,PartTime,40.698,575.34,21.708
521,39,Dammam,PartTime,22.882,479.703,5.309
522,62,Buqaiq,PartTime,39.605,342.082,11.433
523,52,Dammam,FullTime,38.52,687.845,6.822
524,52,Khobar,FullTime,39.801,841.677,12.183
