RESOURCE,MANAGER,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
80723,23224,117961,118225,120535,120647,311441,118398,120649,1
15672,4519,117961,118300,118783,117905,117906,290919,117908,1
45610,21556,118006,118007,117941,117899,117897,19721,117900,0
4675,51119,117961,118343,122012,117905,117906,290919,117908,1
37951,55751,118602,118603,117941,117885,117913,117887,117888,1
23815,16314,117961,118446,120317,118321,117906,290919,118322,1
20351,8686,117961,118327,119830,118054,118054,117887,118055,1
278393,22853,117961,118386,118896,119849,182753,118638,119851,1
42093,4145,117961,118300,120026,307024,303717,118331,118332,1
55554,1448,117902,117903,120722,117905,117906,290919,117908,1
25442,98025,5110,117954,117895,117899,117897,19721,117900,1
73815,64709,118315,118316,120764,123651,251247,118467,123652,1
41950,1614,117961,118327,120171,118747,130134,118453,118749,1
43629,22853,117961,118386,118896,118636,126747,118638,118639,1
73931,17550,117961,118446,118684,118321,117906,290919,118322,1
81350,2260,117961,118343,119598,119433,133686,118424,119435,1
25993,25293,117961,118386,123072,128764,130802,118612,128765,1
41594,117445,119062,119091,118535,117905,117906,290919,117908,1
25993,7426,117961,118225,119238,122849,120324,119095,122850,1
29262,59347,117961,118327,118320,118784,147114,290919,118786,1
78556,2149,118550,118551,120559,118054,118443,117887,118055,1
7678,3053,117961,118225,120663,118641,306399,118643,118644,1
31652,15459,118169,118170,135245,259173,143905,292795,118943,1
44861,22854,117902,118041,131461,119778,174194,19721,119779,0
21052,50997,117961,118052,120539,118321,117906,290919,118322,1
16472,19986,117961,118225,125139,120773,118959,118960,120774,0
6977,14638,117961,118052,118821,117905,117906,290919,117908,1
40338,1411,117902,117903,118437,118958,118959,118960,118961,1
76878,42230,117961,118327,118744,118321,117906,290919,118322,1
43020,17614,117902,118041,118042,118043,118044,270488,118046,0
80151,6227,117961,118343,118437,118784,117906,290919,118786,1
52683,70479,118953,118954,117941,117879,117886,19721,117880,0
31219,44053,117961,117962,117904,119949,123170,290919,119951,1
25993,50690,118269,118270,117878,117879,117879,19721,117880,1
80746,8697,117961,118446,119064,118321,117906,290919,118322,1
25287,2612,117961,118327,123901,118321,117906,290919,118322,1
81458,15009,117902,117903,118783,117905,118036,290919,117908,1
26410,46459,117943,117944,117945,259173,126800,292795,118943,1
81432,7411,117961,118386,118746,118747,152307,118453,118749,1
13878,77950,117916,118150,117941,118568,281735,19721,118570,1
79299,55638,119280,119281,118623,118995,136748,292795,118997,1
5353,2305,117961,117962,119223,128230,302830,4673,128231,0
19752,18213,117961,118386,118746,118747,160002,118453,118749,1
22430,4105,117961,118225,118616,118054,118054,117887,118055,1
79092,1409,117961,118300,120722,118958,118959,118960,118961,1
36646,27873,117978,117979,117884,117879,117886,19721,117880,0
81478,5504,117961,118300,118514,117905,117906,290919,117908,1
4675,5490,117961,117962,5488,120618,304465,118643,120619,1
79092,15683,117961,118300,118957,118777,279443,308574,118779,1
32270,16972,117961,118343,119987,118523,310608,118331,118525,1
34056,13854,117961,118052,118979,307024,306404,118331,118332,1
6690,4549,117961,118225,120050,118321,117906,290919,118322,1
15913,5899,117961,118327,120318,118641,120319,118643,118644,1
81350,57714,118595,118596,118447,307024,311622,118331,118332,1
15798,17835,117961,118225,118403,118451,141500,118453,118454,1
32642,46663,118256,118257,118623,118995,286106,292795,118997,1
23187,85475,117961,118300,123472,117905,117906,290919,117908,1
42085,17058,117961,118300,119488,118728,301534,118295,118730,1
75245,14368,117876,117877,117878,117879,153679,19721,117880,1
18072,7684,118573,118574,118623,126684,127423,292795,126685,1
32292,2174,118256,118257,118450,121372,268307,119184,121374,1
7678,13441,117961,118225,122870,118207,279443,270488,118209,1
25993,20382,117961,118300,124942,118777,279443,308574,118779,1
74478,23097,117961,118225,129617,118702,132654,118704,118705,1
39333,5423,117961,118327,118391,118321,117906,290919,118322,0
917,17128,117961,118300,119984,118396,233714,118398,118399,1
22275,50997,117961,118052,120539,117905,117906,290919,117908,1
35498,18040,117961,118300,118783,118784,240983,290919,118786,1
43323,7651,117961,118386,118746,118321,117906,290919,118322,1
34346,33266,216705,119256,129526,119849,160290,118638,119851,1
27188,121925,117961,118327,118933,118321,240983,290919,118322,1
278393,4931,118290,118291,119488,118293,119489,118295,118296,1
25643,23200,117961,118343,123125,118685,120316,308574,118687,1
29304,62541,117980,118076,118246,179731,147003,117887,117973,1
79168,13881,118602,118603,117941,117885,118097,117887,117888,1
43305,84891,120342,120343,121014,118777,279443,308574,118779,1
34012,866,117961,118413,120526,118259,132668,290919,118261,1
33248,49521,117961,118300,123055,120006,150350,118424,120008,1
37552,1755,117961,117962,119223,125793,137422,118643,125795,1
75305,4084,117961,118052,118992,118321,240983,290919,118322,0
45790,1215,117961,118327,120171,118863,126488,118398,118865,1
75327,17414,118752,119070,118042,118043,151099,270488,118046,1
103120,1447,117961,118343,120722,120690,120690,290919,120692,1
40621,8435,117961,118225,124449,122129,150283,121916,122131,1
30999,852,117961,117962,122215,120773,118959,118960,120774,1
43276,7285,117961,118225,118403,119849,310589,118638,119851,1
23965,4837,117961,118300,120026,118054,119601,117887,118055,1
79948,2270,117961,118413,277693,120773,155692,118960,120774,1
27159,2991,117961,118343,118700,118784,117906,290919,118786,1
43017,53396,117916,118150,117920,118568,142278,19721,118570,1
42093,49425,117961,118343,119598,118422,300136,118424,118425,1
19712,32795,118256,118257,118623,118995,286106,292795,118997,0
78320,78118,118003,118004,117878,117899,121756,19721,117900,1
42085,17578,117961,117962,120677,120812,126079,118638,120814,1
78165,17988,117961,117969,118816,120647,129715,118398,120649,1
1020,85343,117961,118327,118933,117905,117906,290919,117908,1
42085,13196,117951,117952,117941,117879,117879,19721,117880,1
41314,5559,119280,119281,118623,126684,193644,292795,126685,1
27348,97016,119062,119091,118957,118278,118260,290919,118279,1
79092,6201,117961,118225,120663,118321,117906,290919,118322,1
42031,75114,118315,118463,118522,119928,310608,118331,119929,1
1020,57862,118658,118659,123606,128093,128094,119184,128095,1
16639,4993,117961,118343,118979,118826,134537,118424,118828,1
43629,45964,117961,118386,118896,125793,125794,118643,125795,1
16933,7426,117961,118225,119238,122849,120324,119095,122850,1
35754,55895,117961,118343,118979,118777,279443,308574,118779,1
78841,795,117961,118225,120551,118784,117906,290919,118786,1
44644,50997,117961,118052,120539,118321,118448,290919,118322,1
41325,49655,117961,118446,122550,117905,117906,290919,117908,1
78611,56161,117961,118225,119824,122129,305057,121916,122131,1
80746,50801,117902,117903,277693,120773,118959,118960,120774,1
40205,4219,117961,118300,120312,120313,157234,118424,120315,1
17308,49425,117961,118343,119598,118422,300136,118424,118425,1
74995,22307,117902,118041,118556,280788,280788,292795,119082,1
41465,6278,117961,118343,118437,117905,117906,290919,117908,1
80814,17713,117961,118225,120663,117905,117906,290919,117908,1
29304,91412,117975,117976,117920,118568,131694,19721,118570,1
114267,23136,117961,118052,119742,118321,117906,290919,118322,1
80880,2270,117961,118413,277693,120773,118959,118960,120774,1
33642,58078,118185,31010,117912,118568,118776,19721,118570,1
29076,2598,118169,118170,117945,117946,175307,292795,117948,1
33054,2395,117961,118300,119488,118172,301534,249618,118175,1
4675,21280,117961,118386,118317,118685,122058,308574,118687,1
33642,60003,119615,119616,117895,118568,281735,19721,118570,1
971,4175,117961,118343,118292,119433,133686,118424,119435,1
35469,5385,117961,118343,122012,119962,168365,118205,119964,1
40867,70168,117961,118052,121949,118636,122158,118638,118639,1
39394,7389,117961,118386,118746,118451,152307,118453,118454,1
43877,72734,118079,118080,117878,117879,117913,19721,117880,1
20279,83363,117922,117923,117884,117885,117913,117887,117888,1
75834,6997,117961,118343,119945,118321,117906,290919,118322,1
78176,14638,117961,118052,118821,117905,117906,290919,117908,1
391,27891,117926,118124,117920,120132,124314,120134,120135,1
76860,7583,118990,118991,118992,118321,120828,290919,118322,1
941,770,117961,118300,118437,118451,130134,118453,118454,1
23465,3104,117961,118343,123476,118054,118054,117887,118055,1
30879,16974,117961,118300,119181,118321,118448,290919,118322,1
39329,27759,119062,119091,123125,118318,311618,118205,118319,0
3661,59312,118550,118551,118552,118054,132841,117887,118055,1
25993,50117,117961,118327,118507,118890,311441,118398,118892,0
41824,7022,119062,119091,118535,118321,117906,290919,118322,1
30839,3774,117961,118343,118395,118890,125128,118398,118892,1
43821,50556,117910,117911,117884,118568,170423,19721,118570,1
2925,2947,118212,118213,118700,117905,264849,290919,117908,1
73056,50690,118269,118270,117878,117879,117879,19721,117880,1
59756,4970,118212,118213,119598,124152,300136,118424,124154,1
17308,4584,117961,118300,120297,118321,240983,290919,118322,1
40438,4500,117961,118052,118881,118321,240983,290919,118322,1
43583,16850,117961,118225,119092,119093,120324,119095,119096,1
3264,139593,117902,118041,119781,130479,168305,119784,130481,1
35066,46704,91261,118026,118202,118321,117906,290919,118322,1
79047,4564,118212,118213,121405,117905,117906,290919,117908,1
81042,6021,117961,118413,122007,118321,118448,290919,118322,1
78518,1325,117961,117962,118910,118321,117906,290919,118322,1
74213,8068,117961,118386,121668,118321,117906,290919,118322,1
76592,6453,125714,125715,118910,118321,117906,290919,118322,1
45830,6216,117961,118327,118328,124886,306399,118643,124888,1
23879,5717,117961,118300,124725,118321,117906,290919,118322,1
4675,2594,117961,118300,120410,118784,240983,290919,118786,1
17308,27214,117961,118386,125016,307024,155696,118331,118332,1
79342,6235,117961,118343,118437,118523,310608,118331,118525,1
78849,15887,117961,118052,120677,120357,310997,118424,120359,1
75815,27619,117961,118413,118414,118321,117906,290919,118322,1
84036,4994,117961,118300,118514,117905,117906,290919,117908,1
43876,50563,118079,118080,117878,117879,304519,19721,117880,1
23964,4886,117961,118343,118979,118422,155142,118424,118425,1
31008,27214,117961,118386,118692,118321,117906,290919,118322,1
36050,4500,117961,118052,118881,117905,117906,290919,117908,1
100968,5405,117961,118343,119598,117905,117906,290919,117908,1
39511,52481,117983,117984,117878,117879,117897,19721,117880,1
4675,1483,117961,117962,118840,118841,118842,118643,118843,1
23096,14829,117961,118052,119986,118321,117906,290919,118322,1
35134,3242,117961,118343,118514,118321,240983,290919,118322,1
34924,3225,117961,118327,118929,118259,118260,290919,118261,1
33248,4341,117961,118300,118957,118321,117906,290919,118322,0
39473,7424,5110,117954,122672,133111,306530,118870,133113,1
3853,130164,117961,118225,129617,122297,122297,118331,118899,1
35017,4838,117961,118343,120126,118834,133686,118424,118836,1
52717,4576,117961,118327,118391,117905,117906,290919,117908,1
31441,5107,117961,118300,121169,118530,278014,118131,118532,0
73056,19702,118269,118270,117878,117879,117879,19721,117880,1
45624,71401,91261,118026,118063,136115,267952,118667,136117,1
5112,61016,119596,119597,119703,118912,174408,118424,118914,1
84071,70168,117961,118052,118053,118636,122158,118638,118639,1
79092,39027,117961,118327,123757,118054,169823,117887,118055,1
17308,141,117961,118225,122273,118321,117906,290919,118322,1
28082,1012,117961,118225,119924,118321,117906,290919,118322,1
73815,10835,119170,119171,118522,143183,183957,119788,143185,1
17308,5169,119596,119597,118597,118980,153123,118295,118982,1
83270,5767,117961,118343,118344,118321,117906,290919,118322,1
42085,3753,117961,118300,118360,118054,118054,117887,118055,1
34924,7610,117961,118327,120383,117905,117906,290919,117908,1
42654,3549,117961,118225,119136,120001,120002,118474,120003,1
32623,34608,117961,118327,118320,118321,117906,290919,118322,1
18519,32242,117961,118327,118929,118259,120721,290919,118261,1
20312,7364,117902,117903,119181,117905,118036,290919,117908,1
36885,56763,118219,118220,117884,117899,117899,19721,117900,1
15864,17598,117961,118300,118631,307024,132719,118331,118332,1
20897,7492,117961,118225,118673,118674,132494,19793,118676,1
38719,27432,117975,117976,117912,117885,117913,117887,117888,1
45904,22854,119062,119091,131461,119778,174194,19721,119779,1
82641,196,117961,118413,121639,118451,130134,118453,118454,1
111141,17305,117961,118327,118529,118685,132642,308574,118687,1
73122,2409,117961,117962,117904,119949,230830,290919,119951,1
41649,54618,117961,118343,118821,118321,117906,290919,118322,1
35507,17790,117961,118225,119924,118321,117906,290919,118322,1
41410,30441,118582,120216,118360,247659,310330,19721,247660,1
15818,59067,117961,118327,121645,118641,147144,118643,118644,1
16008,1043,117961,118327,121589,124886,123881,118643,124888,1
22394,87910,91261,118026,119279,118451,126309,118453,118454,1
79543,50976,117961,118413,119968,118321,117906,290919,118322,1
39330,4438,117961,118386,121668,118777,279443,308574,118779,1
20281,25983,117916,117917,118599,179731,118247,117887,117973,1
86290,32457,117961,118327,118320,118321,117906,290919,118322,1
102156,239,117961,118225,118403,118321,117906,290919,118322,1
42085,14638,117961,118052,118821,117905,117906,290919,117908,1
18058,7703,117943,117944,117945,280788,126042,292795,119082,1
43906,7424,5110,117954,117878,133111,306530,118870,133113,1
79543,240,117961,118386,118404,118784,121556,290919,118786,1
78872,20734,117959,117960,117920,118568,122142,19721,118570,1
31604,2014,117961,117962,117904,119949,311441,290919,119951,1
79092,4642,117961,118225,120551,118321,117906,290919,118322,1
34924,27,117961,118413,120370,118321,117906,290919,118322,1
74995,59229,117961,119256,120943,126684,126684,292795,126685,1
4675,3966,117961,118343,122012,118259,132715,290919,118261,1
26431,83497,117910,117911,117884,118568,281735,19721,118570,1
34924,16561,117961,118327,120318,118784,147114,290919,118786,1
79543,240,117961,118386,118404,118321,117906,290919,118322,1
38470,72734,118079,118080,117878,117885,118177,117887,117888,1
80208,3724,117961,118300,120059,118636,135814,118638,118639,1
20292,96444,117926,118124,117884,117885,117913,117887,117888,1
79768,21033,117961,118300,123749,119849,241749,118638,119851,1
34592,32457,117961,118327,118320,118321,117906,290919,118322,1
23970,2780,118887,118888,19666,118396,310907,118398,118399,1
75047,4500,117961,118052,118881,117905,117906,290919,117908,1
27299,7029,117961,117962,120677,120357,149187,118424,120359,1
4650,7553,117961,118225,118403,117905,240983,290919,117908,1
16191,7644,117961,118327,120383,117905,117906,290919,117908,1
39330,8516,117961,118386,118733,169634,198341,118736,169635,1
34214,52108,117961,118343,119993,117905,117906,290919,117908,1
1581,1652,117961,118327,118507,179731,169009,117887,117973,1
30583,7748,118573,118574,117945,118274,217378,292795,118276,1
73756,16052,118887,118888,118825,118728,306088,118295,118730,1
19481,10627,118106,118107,119565,179731,155780,117887,117973,1
23990,1744,118290,118291,120171,120284,132803,117887,120285,1
34861,3152,117961,118386,121961,119351,126359,3130,119353,1
5112,5262,119596,119597,124133,120344,282594,118424,120346,1
26800,1938,117961,118300,131868,120618,304465,118643,120619,1
3853,49440,117961,118300,118631,118422,142573,118424,118425,1
25989,4928,117961,118300,118421,120344,222039,118424,120346,1
33642,11988,118742,118743,117941,118568,121756,19721,118570,1
79014,31058,118126,118237,117895,117896,117913,117887,117898,1
75443,17058,117961,118300,120026,120006,136977,118424,120008,1
23966,5409,117961,118343,119993,118321,240983,290919,118322,1
76460,6216,117961,118327,118328,130857,161026,308574,130858,1
45019,1065,117961,118327,121589,118641,306399,118643,118644,1
38480,14270,119402,119403,117895,117896,117913,117887,117898,1
80266,5041,117961,118343,119598,119928,134544,118331,119929,1
80217,17550,117961,118446,118684,117905,117906,290919,117908,1
74874,56602,118079,118080,117878,117879,120319,19721,117880,1
41594,49682,118555,118178,118320,118321,117906,290919,118322,1
80493,5717,117961,118343,124725,118321,117906,290919,118322,1
4675,152656,118658,125100,118856,118321,117906,290919,118322,1
23921,4821,117961,118343,119598,118980,304760,118295,118982,1
25624,7338,117961,118225,118616,118321,240983,290919,118322,1
80681,4343,117961,118343,118660,307024,132719,118331,118332,1
40470,50810,119062,119091,119223,118278,151426,290919,118279,1
35296,6200,117961,118225,120663,118321,117906,290919,118322,1
33423,20827,117961,118446,118701,118702,150344,118704,118705,1
16264,88570,117961,118413,120370,118321,117906,290919,118322,1
79747,14731,117961,118446,118447,118321,117906,290919,118322,1
34924,28590,117961,118327,120685,118321,117906,290919,118322,1
136,4500,117961,118052,118881,117905,117906,290919,117908,1
14960,1999,118084,118085,117920,118568,123239,19721,118570,1
17249,5225,117961,118343,118458,120006,311622,118424,120008,1
25829,7807,117961,118327,118518,120097,146705,270488,120099,1
23096,17414,118752,119070,118042,118043,151099,270488,118046,1
1020,6225,117961,118343,118437,118368,139118,117887,118486,1
1020,87,117961,118446,118447,117905,172635,290919,117908,1
74040,1547,117961,118052,120356,132723,132724,132725,132726,1
79964,16371,117961,118446,118684,118321,117906,290919,118322,1
75834,52734,118290,118291,118660,118293,118294,118295,118296,1
78766,56606,118079,118080,117878,117879,304519,19721,117880,1
34433,3023,117961,118343,122012,118321,117906,290919,118322,1
20271,58707,117916,118011,117884,117885,117913,117887,117888,1
79361,19829,117961,118386,118896,118784,121873,290919,118786,0
23921,15620,122880,122974,118042,118043,118043,270488,118046,1
78713,82459,117961,118386,118522,118784,124874,290919,118786,1
75243,67326,117910,117911,117912,118568,198040,19721,118570,1
80746,16690,117961,118446,119064,122022,131302,119221,122024,1
32270,4341,117961,118300,118957,118784,240983,290919,118786,1
38386,1450,117961,118300,118437,119962,168365,118205,119964,1
15679,1978,117961,118327,120559,122269,141096,118643,122271,1
16232,5987,192441,141176,16232,118321,117906,290919,118322,1
16387,6699,117961,118343,119993,117905,117906,290919,117908,1
4675,169,117961,118413,121639,118321,117906,290919,118322,1
40698,4468,117961,118413,119968,117905,117906,290919,117908,1
14845,18236,117961,118052,120304,119351,206049,3130,119353,1
92377,2594,117961,118300,120410,128230,302830,4673,128231,1
34924,4589,117961,118327,120383,120690,120690,290919,120692,1
33120,17652,120864,120865,171098,118702,194774,118704,118705,1
39397,70062,117961,118386,118746,117905,240983,290919,117908,0
17308,49440,117961,118300,118631,118422,142573,118424,118425,1
20323,2409,117961,117962,117904,119949,123170,290919,119951,1
35648,5156,118290,118291,119890,118293,118294,118295,118296,1
41570,71401,91261,118026,118202,118321,117906,290919,118322,1
39262,23136,117961,118052,119742,118321,117906,290919,118322,1
33232,1727,117902,117903,118507,118028,118368,117887,118030,0
81070,49655,117961,118446,122550,117905,117906,290919,117908,1
32634,7553,117961,118225,118403,118321,117906,290919,118322,1
17249,5015,117961,118300,118395,118890,311441,118398,118892,1
20897,4549,117961,118225,120050,118259,118260,290919,118261,1
34005,771,117961,118300,120722,118321,240983,290919,118322,1
37793,771,117961,118300,120722,118321,117906,290919,118322,1
20226,2440,118752,119070,119121,280788,280788,292795,119082,1
31232,51165,117983,117984,117878,118568,120877,19721,118570,1
79047,49657,117961,118300,121405,117905,117906,290919,117908,1
70081,4638,117961,118343,119987,117905,117906,290919,117908,1
28660,56819,117983,117984,117878,118568,292195,19721,118570,1
20364,15390,117961,118300,118301,120344,311360,118424,120346,1
89684,4549,117961,118225,120050,118259,118260,290919,118261,1
36480,2991,117961,118343,118700,118784,117906,290919,118786,1
20284,27493,117975,117976,117884,117879,117886,19721,117880,0
14914,7020,118169,118170,121716,120611,136293,249618,120613,1
20299,46716,117929,117930,117941,117879,117886,19721,117880,1
74478,14758,117961,118225,120054,118702,311064,118704,118705,0
23497,6257,117961,118343,120722,117905,117906,290919,117908,1
3853,15967,117961,118300,124942,118321,240983,290919,118322,1
278393,1915,117961,118300,119181,118321,117906,290919,118322,1
31736,3270,117961,118225,119781,120097,123784,270488,120099,0
79092,16757,117961,118225,122273,118784,121873,290919,118786,1
74152,59267,117961,117962,120924,307024,294485,118331,118332,1
23961,125466,117902,117903,120171,120990,152438,118398,120992,1
79363,70264,117961,118343,120722,118777,279443,308574,118779,0
83255,5524,117961,118343,118514,117905,240983,290919,117908,1
15352,23340,117961,118225,120663,122030,134579,122032,122033,1
38972,15377,118256,118257,118623,118995,129082,292795,118997,1
35066,7389,117961,118386,118746,118451,152307,118453,118454,1
45990,7679,118573,118574,135245,259173,126238,292795,118943,1
76884,85475,117961,118300,120410,117905,117906,290919,117908,1
17813,3053,117961,118225,120663,118641,306399,118643,118644,1
39883,311198,91261,118026,122392,118274,185540,292795,118276,1
23166,18047,117902,118041,118783,118028,118368,117887,118030,1
41758,28217,118315,118316,123656,118784,117906,290919,118786,1
32270,4838,117961,118343,120126,118834,133686,118424,118836,1
28546,19915,117935,117936,117878,117879,117879,19721,117880,1
42956,8433,117961,118327,118929,118321,117906,290919,118322,1
24016,3949,117961,117962,118352,118685,237731,308574,118687,1
19484,25323,118006,118007,117920,117899,117897,19721,117900,1
40891,51138,117961,118413,119968,118321,240983,290919,118322,1
74629,2071,117961,118386,118501,118502,130777,118504,118505,1
75078,36051,117961,118386,118635,118685,120316,308574,118687,1
80540,3119,117961,118300,120312,119849,236236,118638,119851,1
34924,50997,117961,118052,120539,117905,117906,290919,117908,1
28149,18686,117961,118386,128823,118321,117906,290919,118322,1
40058,3120,117961,118300,120312,120313,120314,118424,120315,1
29693,2199,4292,126095,118378,119192,300603,119184,119194,1
73904,30527,117961,118225,120551,119928,127692,118331,119929,1
40684,1012,117961,118225,119924,118321,117906,290919,118322,1
78903,4362,117961,118343,126955,118777,279443,308574,118779,1
20115,7510,117961,118446,118684,118777,279443,308574,118779,1
45239,3622,117961,118300,118458,118834,223125,118424,118836,1
37362,100,120140,120141,142145,117905,156948,290919,117908,1
25215,858,117961,118327,118529,118777,279443,308574,118779,0
80367,4588,117961,118225,118403,117905,117906,290919,117908,1
34718,7220,117961,118225,120551,117905,125206,290919,117908,1
25993,3990,117961,117962,118409,122645,151214,119221,122647,1
42093,51342,117961,118343,118660,118702,187873,118704,118705,1
80381,782,117961,118413,127522,118784,124402,290919,118786,1
75834,1116,117961,118343,123454,118321,117906,290919,118322,1
45048,15781,117961,118343,118395,123067,233714,118398,123068,1
43452,49005,126918,126919,118042,118043,118043,270488,118046,1
6215,59067,117961,118327,121645,124886,306399,118643,124888,1
14666,53584,117916,117917,117884,118568,281735,19721,118570,1
15365,7084,117961,118386,121961,118321,117906,290919,118322,1
34095,23305,117961,118327,118862,118890,125128,118398,118892,1
32270,1508,117961,118225,120663,118784,240983,290919,118786,1
31009,5697,117961,118386,118692,118784,126514,290919,118786,1
967,51733,119280,119281,117945,126684,193644,292795,126685,0
3853,4965,120864,121013,124133,124134,225335,124136,124137,1
18394,814,118887,118888,123719,117905,117906,290919,117908,1
3853,7506,117961,118446,120317,118777,279443,308574,118779,1
28149,1350,117961,118052,120096,117905,117906,290919,117908,1
80151,6235,117961,118343,118437,119949,127527,290919,119951,1
41640,6285,117961,118300,132427,118321,117906,290919,118322,1
45497,2407,117961,118446,120317,118321,245058,290919,118322,1
4675,17394,117961,118413,122007,118321,117906,290919,118322,1
74431,7320,5110,117954,122672,128197,273102,119772,128199,1
58678,3225,117961,118327,118929,118259,118260,290919,118261,1
20733,19132,117916,118011,117920,124313,124314,120134,124315,1
75649,3966,117961,118343,122012,118321,240983,290919,118322,1
73876,22431,117961,118413,126229,118777,279443,308574,118779,1
74196,4106,119062,119091,122012,179731,130134,117887,117973,1
79092,17091,117961,118225,118403,132671,132894,290919,132673,1
73067,7519,91261,118026,118202,118784,124402,290919,118786,1
38860,70480,119280,119281,117945,118995,119235,292795,118997,1
36480,46376,118573,118574,118623,118995,229793,292795,118997,1
34817,4589,117961,118327,120383,120690,120690,290919,120692,1
20487,2931,117961,118343,118700,117905,117906,290919,117908,1
43903,4565,117961,118386,121961,117905,117906,290919,117908,1
75659,6453,125714,125715,118910,117905,117906,290919,117908,1
77264,46514,117961,118300,120059,119849,310589,118638,119851,1
4675,5535,131853,131854,181065,117905,204746,290919,117908,1
45610,19881,118006,118007,117941,118568,292195,19721,118570,1
15714,121004,121005,121006,117945,280788,155276,292795,119082,1
79299,70260,117961,118225,120535,120647,159051,118398,120649,1
28893,6979,117961,117962,119223,127723,305057,118643,127725,1
35017,131441,117961,118343,119598,119433,133686,118424,119435,1
73904,79114,117961,118225,124449,119849,310589,118638,119851,1
32270,52891,117961,118343,118979,118980,249618,118295,118982,1
32270,5240,118887,118888,127284,118912,309291,118424,118914,1
917,1558,117961,118300,120312,119849,282370,118638,119851,1
75901,5113,117961,118300,119890,120497,258776,118424,120499,1
42972,5767,117961,118343,118344,118321,117906,290919,118322,1
20292,58457,117926,118266,117941,118568,167402,19721,118570,1
38707,20480,118742,118743,118221,117885,117886,117887,117888,1
28634,67326,117910,117911,117912,118568,198040,19721,118570,1
27122,58849,117961,118327,118492,118747,125738,118453,118749,1
73536,17332,117961,118446,122550,118636,157709,118638,118639,1
39939,15886,117961,118052,120356,122067,237245,118424,122069,1
75718,2270,117961,118413,277693,118777,279443,308574,118779,1
80005,1117,117961,118386,118352,117905,117906,290919,117908,1
32270,2946,117961,118300,119796,118685,120316,308574,118687,1
37651,30799,118219,118220,118221,117879,117897,19721,117880,1
38124,19829,117961,118386,118896,118784,121873,290919,118786,0
25274,29762,117961,118052,120398,122067,130238,118424,122069,1
79167,7369,117961,118386,118896,118321,117906,290919,118322,1
31826,53319,118084,118085,131303,146249,146250,19793,146251,1
31842,31837,117926,117927,119569,179731,117913,117887,117973,1
40630,52105,118595,118596,81476,118422,149098,118424,118425,1
99989,28163,118315,118316,120361,117905,175154,290919,117908,1
79363,3770,117961,118343,118395,118890,125128,118398,118892,1
38392,19051,117929,117930,117884,117879,117886,19721,117880,1
31740,5717,117961,118300,124725,117905,117906,290919,117908,1
42031,25303,117961,118386,118522,118784,147114,290919,118786,1
41758,56723,117961,118386,118317,117905,117906,290919,117908,1
74348,21869,117961,118327,118507,118396,158043,118398,118399,1
13878,25772,118006,118007,117941,117899,117897,19721,117900,1
75210,13782,117961,118343,118395,120647,311441,118398,120649,1
20287,31585,117975,117976,117884,117885,117913,117887,117888,1
80268,7807,117961,118327,118518,118043,118756,270488,118046,0
75472,6999,117961,118343,121747,118321,240983,290919,118322,1
28124,1584,117961,118327,128935,118396,299403,118398,118399,1
17308,51178,117961,118386,121961,118523,311622,118331,118525,1
80563,53193,117961,118343,118395,120647,120647,118398,120649,1
