age,attrition_raw,business_travel,department,distance_from_home_km,education_level,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,overtime_flag,pct_salary_hike,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,voluntary_exit_flag,salary_band,seniority_level,performance_score,bonus_pct,promotion_eligibility,overtime_hours_per_month,attrition_risk_score,skill_rating,total_annual_compensation,remote_work_pct,work_life_score,burnout_index,manager_rating,peer_rating,overall_360_score,team_size,career_advancement_score
33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,4,No,11,4,0,7,3,1,1,0,0,0,Band_1,Junior,2.2,5.86,0,0,0.585,2.34,31975,45.4,3.92,0.91,3.4,3.15,2.97,9,1.62
44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,2,Yes,13,4,0,9,5,4,2,1,3,0,Band_4,Junior,2.47,5.16,0,14,1.262,3.21,81560,49.4,4.19,1.19,4.17,3.68,3.64,10,1.01
30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,13,1,0,10,5,10,0,1,8,0,Band_1,Junior,2.07,4.25,0,0,1.121,2.82,30986,30.1,3.72,0.71,2.22,2.77,2.28,8,1.3
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3,No,14,3,1,19,6,1,0,0,0,1,Band_1,Mid,2.6,8.24,0,0,0.047,3.03,26943,18.3,4.24,0.37,2.6,3.57,2.88,13,1.84
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,Yes,16,1,1,6,2,2,0,2,0,1,Band_1,Junior,2.07,4.82,0,8,1.036,2.14,28825,42.2,2.96,2.31,1.0,3.03,1.83,7,0.35
43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,1,No,12,4,2,6,3,5,3,1,4,0,Band_2,Junior,2.6,6.21,0,0,0.575,2.17,35986,49.3,3.31,0.97,4.29,3.71,3.5,9,0.86
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,Yes,14,3,0,3,2,3,2,0,2,1,Band_2,Junior,1.67,5.1,0,13,1.822,1.87,35515,13.0,3.08,2.85,3.21,2.2,2.19,13,1.73
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,1,No,13,1,0,2,3,2,2,2,2,0,Band_1,Junior,2.2,5.87,0,0,0.332,2.37,26992,19.0,3.58,0.79,1.61,3.17,2.37,15,0.36
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,9,Yes,14,4,1,6,3,1,1,0,0,0,Band_2,Junior,1.8,3.52,0,13,3.087,2.64,42432,44.2,4.15,1.83,3.4,2.66,2.67,9,1.86
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,2,No,19,1,2,10,3,5,3,1,3,0,Band_4,Junior,2.6,7.47,0,0,2.023,2.48,70540,0.0,3.33,1.29,1.77,3.9,2.67,11,1.08
35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,1,1,3,1,0,0,0,0,Band_1,Junior,2.2,5.16,0,0,0.191,2.04,24822,45.5,3.92,0.91,2.6,2.97,2.56,10,2.03
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,4,1,1,6,1,0,0,0,0,Band_1,Junior,2.6,5.92,0,0,1.647,3.34,30631,46.6,3.94,0.56,3.4,3.76,3.32,7,1.57
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,1,No,12,3,0,1,2,1,0,0,1,1,Band_1,Junior,1.27,2.47,0,0,1.992,2.1,29688,36.7,3.14,2.08,2.98,1.67,1.85,8,1.64
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,1,No,15,4,0,9,0,9,8,1,7,0,Band_5,Mid,1.8,7.05,0,0,1.075,1.92,114639,9.2,3.45,0.88,4.55,2.89,3.11,16,1.49
30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,23,4,0,12,2,12,8,3,7,0,Band_3,Mid,4.07,10.35,0,0,0.292,2.19,57694,42.1,3.88,0.94,4.55,3.06,4.02,10,0.68
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,No,12,4,0,23,0,22,15,15,8,1,Band_6,Director,1.8,8.54,0,0,1.509,2.37,260787,34.3,3.78,1.33,4.62,3.17,2.98,15,0.7
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,0,No,20,3,0,10,2,9,5,8,7,0,Band_3,Junior,4.07,10.72,0,0,2.142,2.68,62754,13.4,3.51,1.51,3.75,3.35,3.82,13,0.33
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,No,21,1,0,8,1,1,0,0,0,0,Band_2,Junior,3.93,8.6,0,0,2.492,1.57,40296,40.5,3.86,1.28,1.0,2.68,2.33,11,2.06
46,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,21,3,0,14,4,9,6,0,8,0,Band_4,Mid,4.33,12.68,0,16,2.057,3.15,81661,4.7,2.88,3.15,3.82,3.64,3.93,14,2.32
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,4,0,1,2,1,0,0,1,0,Band_1,Junior,2.47,5.4,0,0,0.0,1.5,30547,41.3,3.87,0.61,3.78,3.3,3.04,11,2.06
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,4,0,23,2,1,0,0,0,1,Band_4,Mid,1.67,5.3,0,12,1.883,1.8,69194,54.9,3.66,2.42,3.4,2.15,2.59,12,1.79
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,0,2,3,2,2,2,2,1,Band_2,Junior,2.2,5.1,0,11,1.454,2.67,43918,44.7,2.89,2.19,3.21,3.35,2.76,10,0.35
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Yes,21,3,1,9,2,4,3,1,3,0,Band_4,Junior,4.07,9.56,1,12,3.042,2.81,72531,8.6,2.39,2.9,3.37,3.43,3.43,11,3.42
35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,1,10,3,4,0,2,3,0,Band_5,Mid,1.8,5.27,0,12,3.091,2.14,126319,41.5,3.48,1.87,3.37,2.36,2.53,9,0.84
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,7,Yes,19,3,1,5,2,2,2,0,0,0,Band_3,Junior,1.67,4.92,0,7,1.266,2.14,54177,11.7,2.59,2.16,2.6,2.36,2.15,14,1.7
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,0,15,1,15,14,8,12,0,Band_6,Mid,1.93,5.39,0,27,2.433,2.06,174298,55.8,3.19,3.57,4.02,2.98,2.8,11,0.92
35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,1,No,22,4,1,9,3,9,8,1,8,0,Band_5,Mid,4.2,11.93,1,0,2.456,3.22,124425,13.2,2.84,1.94,4.62,3.68,4.25,14,2.96
35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,1,4,3,2,2,2,2,0,Band_3,Junior,2.2,5.54,0,21,4.11,2.67,51378,50.5,3.31,2.49,3.21,3.35,2.66,11,0.92
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,1,10,3,7,7,1,7,0,Band_4,Junior,4.2,8.63,0,0,0.0,2.84,78593,49.8,3.31,0.97,4.55,3.45,3.97,8,1.4
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,1,7,2,7,5,0,7,0,Band_4,Junior,1.67,4.14,0,0,1.34,2.61,76514,34.0,4.44,1.24,3.75,2.65,2.62,9,1.74
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,2,1,9,3,9,8,7,8,0,Band_4,Junior,4.2,8.23,1,25,2.417,2.62,82388,38.0,3.02,3.57,3.02,3.32,3.62,10,2.54
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,11,4,0,10,2,10,3,9,9,0,Band_1,Junior,2.07,4.34,0,0,1.486,3.02,34000,43.4,3.9,0.59,4.67,3.56,3.58,11,0.58
50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,4,1,29,2,27,3,13,8,0,Band_6,Director,1.67,8.24,0,16,2.471,2.71,249968,39.2,2.66,2.95,4.62,2.71,3.15,17,1.51
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,7,No,11,4,0,28,3,21,16,7,9,0,Band_5,Senior,2.2,9.58,0,0,3.178,3.04,105716,0.0,2.67,2.38,4.67,3.57,3.46,18,0.59
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,2,3,17,2,17,14,12,8,0,Band_5,Mid,2.07,6.37,0,0,1.217,2.66,132427,30.0,3.72,1.04,3.02,3.34,2.49,9,0.92
55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,21,2,5,0,0,2,0,Band_6,Senior,2.07,7.91,0,25,2.189,2.24,192902,34.2,2.97,2.6,3.21,3.09,2.82,11,1.91
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,0,6,3,6,5,0,3,0,Band_4,Junior,1.8,3.76,0,0,1.744,2.51,83514,42.9,3.89,1.26,3.37,2.58,2.76,10,1.63
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,1,25,2,1,0,0,0,0,Band_5,Mid,2.07,5.78,0,0,2.401,2.1,124982,44.4,3.91,1.25,2.6,3.0,2.68,11,1.75
35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,4,1,5,2,3,2,1,2,0,Band_1,Junior,2.07,4.94,0,0,1.655,2.17,28541,38.7,3.17,1.72,4.01,3.04,3.1,7,0.91
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,1,1,2,0,1,0,0,0,1,Band_2,Junior,1.4,2.98,0,25,2.508,1.64,42577,45.6,2.45,2.93,1.0,2.06,1.32,10,1.52
59,No,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,4,0,20,2,4,3,1,3,0,Band_4,Mid,1.67,6.02,0,0,1.022,1.61,70507,4.5,2.72,2.35,4.17,2.04,2.59,17,1.02
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,4,1,6,3,5,4,0,4,0,Band_2,Junior,4.2,8.5,0,0,1.383,2.48,36865,53.7,4.03,0.84,4.29,3.23,4.17,7,2.15
31,No,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,2,0,1,4,1,1,1,0,0,Band_1,Junior,2.33,4.61,0,0,1.102,2.87,31897,43.7,3.9,0.92,1.8,3.47,2.32,11,0.91
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,No,17,2,2,10,3,10,4,0,9,0,Band_4,Junior,2.2,5.04,0,0,1.638,2.65,80948,50.6,3.99,1.2,3.07,3.34,2.71,8,1.93
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,2,0,5,3,1,0,0,0,0,Band_2,Junior,2.6,5.72,0,0,0.656,2.34,38901,46.6,3.94,1.23,1.8,3.81,2.8,8,1.74
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,4,0,11,2,11,7,1,8,0,Band_3,Mid,4.07,10.63,1,0,0.789,2.75,61843,33.8,3.77,1.01,4.62,3.4,4.01,12,3.16
35,No,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,0,No,14,2,0,16,2,15,13,2,8,0,Band_3,Mid,1.67,6.44,0,0,1.871,2.89,58591,7.3,3.43,1.22,3.02,2.82,2.35,14,1.03
45,No,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,4,Yes,14,2,0,17,3,0,0,0,0,0,Band_6,Mid,2.2,6.37,0,24,3.269,2.6,168870,35.1,3.68,2.09,1.8,3.31,2.58,9,2.03
37,No,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,4,No,13,1,0,16,3,5,2,0,2,0,Band_6,Mid,2.2,6.6,0,0,1.415,2.78,177406,44.1,4.57,1.16,1.61,3.42,2.41,13,1.97
46,No,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,22,4,1,16,2,4,2,0,2,0,Band_4,Mid,4.07,9.13,0,18,2.623,1.91,68921,24.0,3.06,2.81,4.01,2.89,3.65,7,1.52
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,2,10,1,10,8,3,0,0,Band_4,Junior,1.53,3.58,0,11,0.812,1.58,65251,48.1,2.93,1.83,2.6,2.02,1.91,7,0.52
35,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,1,No,18,1,0,6,3,6,4,0,4,0,Band_2,Junior,1.8,3.6,0,0,1.125,2.51,36036,34.3,3.78,1.33,1.89,2.58,2.31,10,1.98
55,No,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,3,No,14,4,1,24,4,1,0,1,0,0,Band_5,Mid,2.33,7.89,0,0,1.191,2.27,132047,8.1,3.44,1.88,3.4,3.11,2.94,14,1.13
38,No,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,12,4,3,17,3,13,11,1,9,0,Band_4,Mid,1.4,4.39,0,23,2.047,2.76,69923,49.6,3.23,2.98,4.67,2.07,2.91,12,1.55
34,No,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,15,3,0,5,2,5,2,1,3,0,Band_3,Junior,2.07,3.91,0,0,1.724,1.94,55896,52.3,4.01,1.52,3.37,2.9,2.88,7,1.42
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,1,0,37,3,6,4,0,2,0,Band_5,Senior,1.4,6.32,0,0,0.116,2.51,94599,38.9,3.17,1.06,1.61,1.92,1.57,13,1.97
23,No,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,1,3,3,0,0,0,0,0,Band_1,Junior,2.2,6.05,0,0,1.953,1.7,29687,8.1,3.44,1.22,2.6,2.76,2.45,13,1.94
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,23,2,2,10,4,4,2,0,3,0,Band_1,Junior,4.33,9.35,0,0,0.391,2.97,28651,46.5,3.94,0.56,2.57,3.53,3.65,11,1.51
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,1,3,11,3,11,10,10,8,0,Band_3,Mid,1.8,5.67,0,0,0.256,2.68,54845,57.4,4.08,0.81,2.22,2.69,2.39,11,0.5
46,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,1,No,16,4,0,9,3,9,8,4,7,1,Band_5,Mid,1.8,7.16,0,0,0.764,2.32,125747,0.0,3.33,1.29,4.55,2.47,2.74,17,0.27
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,1,No,22,4,1,22,3,22,3,11,11,0,Band_6,Senior,3.8,11.54,0,0,1.196,3.37,186219,37.7,3.16,1.4,4.78,3.11,4.0,12,0.71
51,No,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,0,Yes,22,4,0,11,2,10,7,1,0,0,Band_4,Mid,4.07,11.74,1,17,2.338,2.72,74190,30.4,1.85,3.2,3.4,3.38,3.61,15,3.89
30,No,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,12,2,3,11,4,11,8,2,7,0,Band_4,Mid,1.93,7.0,0,9,2.146,2.62,68705,5.8,2.45,2.36,2.95,2.65,2.38,17,0.93
46,No,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,1,21,5,10,9,9,5,0,Band_6,Mid,2.07,5.97,0,23,3.39,3.12,137325,29.9,2.31,3.24,3.59,2.96,2.9,9,0.17
32,No,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,No,16,1,0,12,0,11,8,5,7,0,Band_4,Mid,1.8,6.09,0,0,1.134,2.28,67143,3.3,3.38,1.59,2.15,3.11,2.15,17,0.64
